Constituency,Constituency Code,Conservative,Labour,Liberal Democrat,Reform UK,The Green Party,Scottish National Party (SNP),Plaid Cymru,Other,GE 2019 Notional Result,Winner,Margin,Change
Arbroath and Broughty Ferry,S14000066,11.4%,32.1%,11.0%,4.8%,0.0%,36.6%,0.0%,4.0%,Scottish National Party (SNP),Scottish National Party (SNP),4.5%,SNP HOLD
"Argyll, Bute and South Lochaber",S14000067,28.6%,12.0%,16.5%,5.9%,0.0%,36.5%,0.0%,0.5%,Scottish National Party (SNP),Scottish National Party (SNP),7.9%,SNP HOLD
Arundel and South Downs,E14001067,33.9%,20.9%,18.5%,14.6%,11.1%,0.0%,0.0%,1.0%,Conservative,Conservative,13.1%,Conservative HOLD
Ashfield,E14001068,9.1%,20.2%,0.2%,49.3%,2.3%,0.0%,0.0%,19.0%,Conservative,Reform UK,29.0%,Reform UK GAIN from Conservative
Ashford,E14001069,31.9%,33.5%,7.3%,17.9%,7.7%,0.0%,0.0%,1.7%,Conservative,Labour,1.6%,Labour GAIN from Conservative
Ashton-under-Lyne,E14001070,17.9%,52.4%,1.5%,19.1%,6.4%,0.0%,0.0%,2.7%,Labour,Labour,33.3%,Labour HOLD
Aylesbury,E14001071,30.2%,29.8%,22.1%,11.2%,4.9%,0.0%,0.0%,1.7%,Conservative,Conservative,0.4%,Conservative HOLD
"Ayr, Carrick and Cumnock",S14000006,22.7%,28.9%,9.2%,4.7%,3.5%,30.3%,0.0%,0.7%,Scottish National Party (SNP),Scottish National Party (SNP),1.4%,SNP HOLD
Banbury,E14001072,28.7%,35.7%,16.1%,13.3%,4.8%,0.0%,0.0%,1.5%,Conservative,Labour,7.0%,Labour GAIN from Conservative
Bangor Aberconwy,W07000083,20.2%,35.9%,5.2%,18.9%,3.8%,0.0%,15.8%,0.2%,Conservative,Labour,15.7%,Labour GAIN from Conservative
Barking,E14001073,16.2%,50.7%,0.4%,17.6%,7.5%,0.0%,0.0%,7.6%,Labour,Labour,33.1%,Labour HOLD
Barnsley North,E14001074,14.9%,44.3%,4.3%,26.2%,6.4%,0.0%,0.0%,4.0%,Labour,Labour,18.1%,Labour HOLD
Barnsley South,E14001075,14.2%,43.3%,3.8%,28.4%,5.9%,0.0%,0.0%,4.5%,Labour,Labour,15.0%,Labour HOLD
Barrow and Furness,E14001076,25.4%,50.2%,2.7%,16.5%,3.8%,0.0%,0.0%,1.4%,Conservative,Labour,24.8%,Labour GAIN from Conservative
Basildon and Billericay,E14001077,32.8%,30.8%,7.3%,20.7%,6.3%,0.0%,0.0%,2.1%,Conservative,Conservative,2.0%,Conservative HOLD
Basingstoke,E14001078,27.1%,41.8%,11.3%,14.1%,3.7%,0.0%,0.0%,1.9%,Conservative,Labour,14.7%,Labour GAIN from Conservative
Bassetlaw,E14001079,27.4%,44.3%,2.2%,23.6%,2.5%,0.0%,0.0%,0.0%,Conservative,Labour,16.9%,Labour GAIN from Conservative
Bath,E14001080,15.1%,17.3%,54.7%,7.2%,5.1%,0.0%,0.0%,0.7%,Liberal Democrat,Liberal Democrat,37.4%,Liberal Democrat HOLD
Bathgate and Linlithgow,S14000068,9.8%,38.7%,5.2%,7.5%,8.7%,27.0%,0.0%,3.2%,Scottish National Party (SNP),Labour,11.7%,Labour GAIN from SNP
Battersea,E14001081,19.8%,55.0%,9.1%,8.7%,5.2%,0.0%,0.0%,2.3%,Labour,Labour,35.2%,Labour HOLD
Beaconsfield,E14001082,34.1%,19.7%,7.5%,23.5%,8.1%,0.0%,0.0%,7.2%,Conservative,Conservative,10.6%,Conservative HOLD
Beckenham and Penge,E14001083,26.3%,51.3%,8.8%,9.1%,4.5%,0.0%,0.0%,0.0%,Labour,Labour,25.1%,Labour HOLD
Bedford,E14001084,19.8%,47.3%,12.4%,12.1%,5.6%,0.0%,0.0%,2.8%,Labour,Labour,27.4%,Labour HOLD
Bermondsey and Old Southwark,E14001085,11.6%,45.9%,28.8%,7.0%,4.7%,0.0%,0.0%,2.1%,Labour,Labour,17.1%,Labour HOLD
"Berwickshire, Roxburgh and Selkirk",S14000008,35.5%,12.2%,14.4%,5.8%,1.4%,30.6%,0.0%,0.1%,Conservative,Conservative,4.9%,Conservative HOLD
Bethnal Green and Stepney,E14001086,8.3%,55.7%,6.9%,6.3%,7.2%,0.0%,0.0%,15.6%,Labour,Labour,40.1%,Labour HOLD
Beverley and Holderness,E14001087,33.6%,37.6%,9.0%,14.4%,3.6%,0.0%,0.0%,1.8%,Conservative,Labour,4.0%,Labour GAIN from Conservative
Bexhill and Battle,E14001088,34.6%,23.0%,15.8%,17.2%,7.1%,0.0%,0.0%,2.3%,Conservative,Conservative,11.6%,Conservative HOLD
Bexleyheath and Crayford,E14001089,35.3%,42.9%,1.6%,17.0%,3.2%,0.0%,0.0%,0.0%,Conservative,Labour,7.6%,Labour GAIN from Conservative
Bicester and Woodstock,E14001090,29.6%,25.2%,28.2%,11.2%,4.9%,0.0%,0.0%,1.0%,Conservative,Conservative,1.3%,Conservative HOLD
Birkenhead,E14001091,10.1%,51.5%,3.7%,15.8%,13.0%,0.0%,0.0%,6.0%,Labour,Labour,35.7%,Labour HOLD
Birmingham Edgbaston,E14001092,20.3%,54.3%,3.8%,12.4%,6.7%,0.0%,0.0%,2.6%,Labour,Labour,34.1%,Labour HOLD
Birmingham Erdington,E14001093,21.0%,45.9%,1.4%,21.3%,7.5%,0.0%,0.0%,2.9%,Labour,Labour,24.6%,Labour HOLD
Birmingham Hall Green and Moseley,E14001094,11.7%,52.6%,5.1%,9.5%,7.2%,0.0%,0.0%,14.0%,Labour,Labour,38.6%,Labour HOLD
Birmingham Hodge Hill and Solihull North,E14001095,15.9%,40.1%,1.1%,16.3%,21.9%,0.0%,0.0%,4.7%,Labour,Labour,18.2%,Labour HOLD
Birmingham Ladywood,E14001096,8.3%,68.0%,0.6%,7.3%,7.5%,0.0%,0.0%,8.3%,Labour,Labour,59.7%,Labour HOLD
Birmingham Northfield,E14001097,26.4%,47.0%,1.5%,17.9%,4.9%,0.0%,0.0%,2.3%,Conservative,Labour,20.6%,Labour GAIN from Conservative
Birmingham Perry Barr,E14001098,14.1%,57.2%,4.6%,9.9%,6.6%,0.0%,0.0%,7.7%,Labour,Labour,43.1%,Labour HOLD
Birmingham Selly Oak,E14001099,17.1%,55.0%,2.8%,11.5%,10.8%,0.0%,0.0%,2.8%,Labour,Labour,37.8%,Labour HOLD
Birmingham Yardley,E14001100,16.8%,44.5%,13.3%,12.9%,7.7%,0.0%,0.0%,4.8%,Labour,Labour,27.7%,Labour HOLD
Bishop Auckland,E14001101,25.7%,39.8%,2.4%,23.0%,4.8%,0.0%,0.0%,4.4%,Conservative,Labour,14.1%,Labour GAIN from Conservative
Blackburn,E14001102,11.7%,60.1%,0.5%,13.7%,6.2%,0.0%,0.0%,7.9%,Labour,Labour,46.5%,Labour HOLD
Blackley and Middleton South,E14001103,16.3%,57.9%,1.9%,18.5%,5.4%,0.0%,0.0%,0.0%,Labour,Labour,39.4%,Labour HOLD
Blackpool North and Fleetwood,E14001104,27.3%,47.4%,1.2%,18.9%,3.6%,0.0%,0.0%,1.7%,Conservative,Labour,20.1%,Labour GAIN from Conservative
Blackpool South,E14001105,20.2%,36.8%,3.3%,28.6%,8.7%,0.0%,0.0%,2.5%,Conservative,Labour,8.2%,Labour GAIN from Conservative
Blaenau Gwent and Rhymney,W07000084,12.5%,66.4%,0.9%,0.0%,5.7%,0.0%,11.0%,3.5%,Labour,Labour,53.9%,Labour HOLD
Blaydon and Consett,E14001106,16.1%,53.2%,2.7%,20.0%,5.4%,0.0%,0.0%,2.6%,Labour,Labour,33.3%,Labour HOLD
Blyth and Ashington,E14001107,15.1%,49.3%,3.3%,26.8%,5.6%,0.0%,0.0%,0.0%,Labour,Labour,22.5%,Labour HOLD
Bognor Regis and Littlehampton,E14001108,33.0%,26.1%,14.1%,18.9%,6.3%,0.0%,0.0%,1.6%,Conservative,Conservative,6.9%,Conservative HOLD
Bolsover,E14001109,23.7%,47.5%,1.0%,24.6%,3.2%,0.0%,0.0%,0.0%,Conservative,Labour,22.8%,Labour GAIN from Conservative
Bolton North East,E14001110,25.7%,48.9%,1.0%,16.4%,3.9%,0.0%,0.0%,4.2%,Conservative,Labour,23.2%,Labour GAIN from Conservative
Bolton South and Walkden,E14001111,16.6%,53.1%,1.6%,17.4%,5.9%,0.0%,0.0%,5.4%,Labour,Labour,35.6%,Labour HOLD
Bolton West,E14001112,31.8%,47.5%,4.4%,11.5%,2.5%,0.0%,0.0%,2.3%,Conservative,Labour,15.7%,Labour GAIN from Conservative
Bootle,E14001113,7.4%,73.7%,1.3%,11.3%,2.6%,0.0%,0.0%,3.7%,Labour,Labour,62.3%,Labour HOLD
Boston and Skegness,E14001114,35.1%,23.6%,2.5%,33.0%,3.7%,0.0%,0.0%,2.1%,Conservative,Conservative,2.1%,Conservative HOLD
Bournemouth East,E14001115,27.4%,38.0%,10.7%,14.7%,6.8%,0.0%,0.0%,2.5%,Conservative,Labour,10.6%,Labour GAIN from Conservative
Bournemouth West,E14001116,27.8%,37.9%,10.3%,14.3%,8.1%,0.0%,0.0%,1.5%,Conservative,Labour,10.1%,Labour GAIN from Conservative
Bracknell,E14001117,30.6%,39.6%,10.3%,14.8%,3.5%,0.0%,0.0%,1.4%,Conservative,Labour,9.0%,Labour GAIN from Conservative
Bradford East,E14001118,13.6%,48.9%,8.6%,10.3%,4.8%,0.0%,0.0%,13.8%,Labour,Labour,35.1%,Labour HOLD
Bradford South,E14001119,19.8%,48.8%,1.6%,18.3%,5.8%,0.0%,0.0%,5.6%,Labour,Labour,28.9%,Labour HOLD
Bradford West,E14001120,9.3%,57.9%,0.2%,6.9%,4.9%,0.0%,0.0%,20.7%,Labour,Labour,37.2%,Labour HOLD
Braintree,E14001121,35.2%,31.0%,6.3%,20.6%,4.8%,0.0%,0.0%,2.1%,Conservative,Conservative,4.1%,Conservative HOLD
"Brecon, Radnor and Cwm Tawe",W07000085,25.1%,24.1%,32.1%,7.9%,2.8%,0.0%,7.3%,0.7%,Conservative,Liberal Democrat,7.0%,Liberal Democrat GAIN from Conservative
Brent East,E14001122,16.1%,54.7%,5.7%,9.5%,7.9%,0.0%,0.0%,6.1%,Labour,Labour,38.5%,Labour HOLD
Brent West,E14001123,21.1%,54.4%,6.9%,8.7%,4.8%,0.0%,0.0%,4.2%,Labour,Labour,33.3%,Labour HOLD
Brentford and Isleworth,E14001124,18.2%,50.9%,10.5%,9.6%,6.2%,0.0%,0.0%,4.6%,Labour,Labour,32.7%,Labour HOLD
Brentwood and Ongar,E14001125,37.4%,24.9%,17.2%,14.8%,4.7%,0.0%,0.0%,1.0%,Conservative,Conservative,12.6%,Conservative HOLD
Bridgend,W07000086,23.5%,47.0%,6.4%,8.5%,3.3%,0.0%,6.8%,4.5%,Conservative,Labour,23.5%,Labour GAIN from Conservative
Bridgwater,E14001126,28.6%,27.7%,17.7%,20.2%,4.8%,0.0%,0.0%,1.1%,Conservative,Conservative,0.9%,Conservative HOLD
Bridlington and The Wolds,E14001127,33.3%,29.8%,10.8%,16.7%,6.2%,0.0%,0.0%,3.2%,Conservative,Conservative,3.6%,Conservative HOLD
Brigg and Immingham,E14001128,34.3%,41.4%,1.9%,18.0%,4.3%,0.0%,0.0%,0.0%,Conservative,Labour,7.1%,Labour GAIN from Conservative
Brighton Kemptown and Peacehaven,E14001129,20.0%,51.5%,8.8%,0.0%,15.0%,0.0%,0.0%,4.8%,Labour,Labour,31.5%,Labour HOLD
Brighton Pavilion,E14001130,9.8%,22.6%,4.9%,4.8%,55.3%,0.0%,0.0%,2.7%,The Green Party,The Green Party,32.7%,Green HOLD
Bristol Central,E14001131,7.4%,44.0%,0.7%,3.9%,42.5%,0.0%,0.0%,1.5%,Labour,Labour,1.5%,Labour HOLD
Bristol East,E14001132,13.0%,51.6%,6.9%,0.0%,24.8%,0.0%,0.0%,3.7%,Labour,Labour,26.8%,Labour HOLD
Bristol North East,E14001133,17.0%,48.0%,4.2%,13.7%,14.5%,0.0%,0.0%,2.7%,Labour,Labour,31.0%,Labour HOLD
Bristol North West,E14001134,16.8%,46.3%,8.8%,9.9%,16.2%,0.0%,0.0%,2.0%,Labour,Labour,29.6%,Labour HOLD
Bristol South,E14001135,13.7%,38.0%,6.5%,16.4%,23.0%,0.0%,0.0%,2.5%,Labour,Labour,15.0%,Labour HOLD
Broadland and Fakenham,E14001136,31.7%,32.4%,12.6%,17.0%,6.4%,0.0%,0.0%,0.0%,Conservative,Labour,0.7%,Labour GAIN from Conservative
Bromley and Biggin Hill,E14001137,34.9%,34.6%,10.2%,12.2%,5.7%,0.0%,0.0%,2.4%,Conservative,Conservative,0.3%,Conservative HOLD
Bromsgrove,E14001138,35.8%,31.1%,10.9%,14.0%,6.7%,0.0%,0.0%,1.6%,Conservative,Conservative,4.7%,Conservative HOLD
Broxbourne,E14001139,36.6%,35.5%,4.8%,16.9%,4.0%,0.0%,0.0%,2.2%,Conservative,Conservative,1.1%,Conservative HOLD
Broxtowe,E14001140,25.4%,51.4%,1.6%,14.9%,2.9%,0.0%,0.0%,3.8%,Conservative,Labour,25.9%,Labour GAIN from Conservative
Buckingham and Bletchley,E14001141,29.2%,40.5%,9.1%,14.9%,4.3%,0.0%,0.0%,2.0%,Conservative,Labour,11.3%,Labour GAIN from Conservative
Burnley,E14001142,21.2%,45.9%,3.3%,18.5%,7.1%,0.0%,0.0%,4.0%,Conservative,Labour,24.8%,Labour GAIN from Conservative
Burton and Uttoxeter,E14001143,29.6%,44.0%,2.0%,17.2%,5.3%,0.0%,0.0%,1.9%,Conservative,Labour,14.4%,Labour GAIN from Conservative
Bury North,E14001144,26.6%,55.9%,0.8%,11.6%,2.1%,0.0%,0.0%,3.0%,Conservative,Labour,29.3%,Labour GAIN from Conservative
Bury South,E14001145,22.1%,49.2%,6.0%,14.9%,4.2%,0.0%,0.0%,3.6%,Conservative,Labour,27.1%,Labour GAIN from Conservative
Bury St Edmunds and Stowmarket,E14001146,32.2%,32.5%,2.7%,16.5%,14.1%,0.0%,0.0%,2.1%,Conservative,Labour,0.3%,Labour GAIN from Conservative
Caerfyrddin,W07000087,16.9%,40.3%,4.5%,22.4%,2.5%,0.0%,13.4%,0.1%,Conservative,Labour,17.9%,Labour GAIN from Conservative
Caerphilly,W07000088,14.5%,55.4%,1.3%,13.1%,6.6%,0.0%,9.2%,0.0%,Labour,Labour,41.0%,Labour HOLD
"Caithness, Sutherland and Easter Ross",S14000069,9.6%,8.1%,49.4%,11.9%,3.0%,17.7%,0.0%,0.5%,Scottish National Party (SNP),Liberal Democrat,31.7%,Liberal Democrat GAIN from SNP
Calder Valley,E14001147,26.5%,51.9%,2.5%,11.7%,3.6%,0.0%,0.0%,3.9%,Conservative,Labour,25.4%,Labour GAIN from Conservative
Camborne and Redruth,E14001148,27.2%,32.2%,9.6%,18.5%,9.0%,0.0%,0.0%,3.5%,Conservative,Labour,5.0%,Labour GAIN from Conservative
Cambridge,E14001149,9.9%,52.4%,27.0%,0.0%,9.1%,0.0%,0.0%,1.6%,Labour,Labour,25.4%,Labour HOLD
Cannock Chase,E14001150,35.3%,39.9%,0.6%,19.2%,5.1%,0.0%,0.0%,0.0%,Conservative,Labour,4.5%,Labour GAIN from Conservative
Canterbury,E14001151,22.5%,52.8%,6.2%,11.2%,6.3%,0.0%,0.0%,1.1%,Labour,Labour,30.3%,Labour HOLD
Cardiff East,W07000089,16.0%,48.5%,11.1%,8.7%,4.1%,0.0%,9.4%,2.1%,Labour,Labour,32.5%,Labour HOLD
Cardiff North,W07000090,22.2%,37.3%,12.9%,7.6%,12.5%,0.0%,7.5%,0.0%,Labour,Labour,15.2%,Labour HOLD
Cardiff South and Penarth,W07000091,16.9%,58.0%,8.0%,3.5%,3.2%,0.0%,10.3%,0.0%,Labour,Labour,41.1%,Labour HOLD
Cardiff West,W07000092,18.9%,43.8%,8.8%,10.5%,8.3%,0.0%,7.6%,2.1%,Labour,Labour,25.0%,Labour HOLD
Carlisle,E14001152,27.4%,47.7%,3.2%,15.9%,4.4%,0.0%,0.0%,1.4%,Conservative,Labour,20.3%,Labour GAIN from Conservative
Carshalton and Wallington,E14001153,32.6%,25.3%,25.0%,11.8%,3.2%,0.0%,0.0%,2.1%,Conservative,Conservative,7.3%,Conservative HOLD
Castle Point,E14001154,40.7%,28.5%,5.4%,23.1%,2.3%,0.0%,0.0%,0.0%,Conservative,Conservative,12.1%,Conservative HOLD
Central Ayrshire,S14000010,15.1%,39.7%,3.7%,6.1%,6.1%,28.4%,0.0%,0.9%,Scottish National Party (SNP),Labour,11.3%,Labour GAIN from SNP
Central Devon,E14001155,30.4%,25.8%,16.8%,15.3%,10.3%,0.0%,0.0%,1.5%,Conservative,Conservative,4.7%,Conservative HOLD
Central Suffolk and North Ipswich,E14001156,27.5%,32.9%,9.3%,18.0%,11.0%,0.0%,0.0%,1.4%,Conservative,Labour,5.4%,Labour GAIN from Conservative
Ceredigion Preseli,W07000093,11.6%,15.5%,9.4%,9.8%,7.4%,0.0%,46.2%,0.1%,Plaid Cymru,Plaid Cymru,30.7%,Plaid Cymru HOLD
Chatham and Aylesford,E14001157,33.4%,31.6%,5.9%,21.5%,5.7%,0.0%,0.0%,1.8%,Conservative,Conservative,1.8%,Conservative HOLD
Cheadle,E14001158,25.9%,19.9%,47.0%,5.0%,1.2%,0.0%,0.0%,1.0%,Conservative,Liberal Democrat,21.2%,Liberal Democrat GAIN from Conservative
Chelmsford,E14001159,29.7%,29.0%,26.3%,11.3%,2.6%,0.0%,0.0%,1.1%,Conservative,Conservative,0.7%,Conservative HOLD
Chelsea and Fulham,E14001160,29.6%,39.4%,16.6%,9.2%,2.9%,0.0%,0.0%,2.4%,Conservative,Labour,9.8%,Labour GAIN from Conservative
Cheltenham,E14001161,23.4%,12.5%,61.3%,0.0%,2.3%,0.0%,0.0%,0.6%,Conservative,Liberal Democrat,37.8%,Liberal Democrat GAIN from Conservative
Chesham and Amersham,E14001162,29.7%,21.4%,22.2%,16.9%,8.1%,0.0%,0.0%,1.7%,Conservative,Conservative,7.4%,Conservative HOLD
Chester North and Neston,E14001163,18.1%,62.1%,4.1%,11.0%,4.8%,0.0%,0.0%,0.0%,Labour,Labour,44.0%,Labour HOLD
Chester South and Eddisbury,E14001164,31.9%,31.8%,15.4%,11.8%,7.4%,0.0%,0.0%,1.8%,Conservative,Conservative,0.1%,Conservative HOLD
Chesterfield,E14001165,17.9%,47.0%,8.0%,20.6%,4.8%,0.0%,0.0%,1.6%,Labour,Labour,26.4%,Labour HOLD
Chichester,E14001166,33.8%,21.1%,22.5%,14.5%,6.8%,0.0%,0.0%,1.3%,Conservative,Conservative,11.2%,Conservative HOLD
Chingford and Woodford Green,E14001167,30.8%,49.7%,1.7%,11.5%,3.1%,0.0%,0.0%,3.3%,Conservative,Labour,18.9%,Labour GAIN from Conservative
Chippenham,E14001168,33.4%,21.7%,25.4%,14.2%,3.9%,0.0%,0.0%,1.4%,Conservative,Conservative,7.9%,Conservative HOLD
Chipping Barnet,E14001169,31.3%,49.1%,3.4%,9.7%,3.5%,0.0%,0.0%,3.0%,Conservative,Labour,17.8%,Labour GAIN from Conservative
Christchurch,E14001171,36.4%,22.4%,21.7%,14.0%,3.4%,0.0%,0.0%,2.0%,Conservative,Conservative,14.0%,Conservative HOLD
Cities of London and Westminster,E14001172,27.0%,37.8%,19.1%,8.2%,4.7%,0.0%,0.0%,3.2%,Conservative,Labour,10.8%,Labour GAIN from Conservative
City of Durham,E14001173,17.1%,48.9%,12.8%,12.5%,7.4%,0.0%,0.0%,1.3%,Labour,Labour,31.7%,Labour HOLD
Clacton,E14001174,32.9%,20.3%,2.9%,35.9%,6.2%,0.0%,0.0%,1.8%,Conservative,Reform UK,3.1%,Reform UK GAIN from Conservative
Clapham and Brixton Hill,E14001175,12.6%,54.2%,14.3%,7.5%,7.8%,0.0%,0.0%,3.6%,Labour,Labour,40.0%,Labour HOLD
Clwyd East,W07000094,22.3%,49.4%,4.1%,15.1%,4.1%,0.0%,4.5%,0.5%,Conservative,Labour,27.2%,Labour GAIN from Conservative
Clwyd North,W07000095,25.3%,41.3%,3.4%,18.4%,2.6%,0.0%,9.1%,0.0%,Conservative,Labour,16.0%,Labour GAIN from Conservative
Coatbridge and Bellshill,S14000070,5.5%,46.0%,3.8%,9.9%,6.3%,24.8%,0.0%,3.6%,Scottish National Party (SNP),Labour,21.2%,Labour GAIN from SNP
Colchester,E14001176,28.2%,38.9%,12.8%,12.3%,5.5%,0.0%,0.0%,2.3%,Conservative,Labour,10.8%,Labour GAIN from Conservative
Colne Valley,E14001177,29.4%,49.8%,4.7%,10.5%,2.5%,0.0%,0.0%,3.2%,Conservative,Labour,20.4%,Labour GAIN from Conservative
Congleton,E14001178,32.0%,41.2%,8.8%,12.4%,4.2%,0.0%,0.0%,1.4%,Conservative,Labour,9.2%,Labour GAIN from Conservative
Corby and East Northamptonshire,E14001179,27.7%,48.2%,3.5%,15.8%,3.4%,0.0%,0.0%,1.5%,Conservative,Labour,20.5%,Labour GAIN from Conservative
Coventry East,E14001180,16.0%,47.6%,3.4%,17.6%,11.0%,0.0%,0.0%,4.4%,Labour,Labour,30.0%,Labour HOLD
Coventry North West,E14001181,20.1%,49.9%,2.8%,16.5%,9.1%,0.0%,0.0%,1.6%,Labour,Labour,29.8%,Labour HOLD
Coventry South,E14001182,19.7%,51.9%,3.4%,12.0%,11.4%,0.0%,0.0%,1.8%,Labour,Labour,32.2%,Labour HOLD
Cowdenbeath and Kirkcaldy,S14000071,12.7%,33.9%,6.7%,9.7%,8.3%,26.8%,0.0%,2.1%,Scottish National Party (SNP),Labour,7.1%,Labour GAIN from SNP
Cramlington and Killingworth,E14001183,20.4%,56.6%,2.0%,16.0%,2.9%,0.0%,0.0%,2.2%,Labour,Labour,36.2%,Labour HOLD
Crawley,E14001184,26.6%,47.7%,3.0%,14.9%,5.2%,0.0%,0.0%,2.6%,Conservative,Labour,21.2%,Labour GAIN from Conservative
Crewe and Nantwich,E14001185,22.9%,54.3%,1.9%,14.3%,4.1%,0.0%,0.0%,2.6%,Conservative,Labour,31.4%,Labour GAIN from Conservative
Croydon East,E14001186,23.7%,52.1%,4.3%,13.0%,6.9%,0.0%,0.0%,0.0%,Labour,Labour,28.4%,Labour HOLD
Croydon South,E14001187,35.8%,38.2%,7.4%,11.0%,5.0%,0.0%,0.0%,2.6%,Conservative,Labour,2.4%,Labour GAIN from Conservative
Croydon West,E14001188,14.4%,60.0%,3.4%,9.5%,6.3%,0.0%,0.0%,6.4%,Labour,Labour,45.6%,Labour HOLD
Cumbernauld and Kirkintilloch,S14000072,7.7%,40.2%,6.4%,7.7%,5.0%,32.9%,0.0%,0.0%,Scottish National Party (SNP),Labour,7.3%,Labour GAIN from SNP
Dagenham and Rainham,E14001189,23.3%,41.2%,1.4%,22.1%,6.5%,0.0%,0.0%,5.5%,Labour,Labour,17.9%,Labour HOLD
Darlington,E14001190,24.7%,50.0%,1.5%,17.9%,5.9%,0.0%,0.0%,0.0%,Conservative,Labour,25.3%,Labour GAIN from Conservative
Dartford,E14001191,36.3%,40.9%,3.4%,16.9%,2.5%,0.0%,0.0%,0.0%,Conservative,Labour,4.6%,Labour GAIN from Conservative
Daventry,E14001192,34.5%,29.9%,9.8%,16.7%,9.1%,0.0%,0.0%,0.0%,Conservative,Conservative,4.7%,Conservative HOLD
Derby North,E14001193,24.5%,52.0%,4.3%,15.2%,4.0%,0.0%,0.0%,0.0%,Conservative,Labour,27.5%,Labour GAIN from Conservative
Derby South,E14001194,16.9%,47.7%,5.4%,18.6%,6.2%,0.0%,0.0%,5.3%,Labour,Labour,29.1%,Labour HOLD
Derbyshire Dales,E14001195,33.0%,36.0%,8.6%,14.8%,6.3%,0.0%,0.0%,1.3%,Conservative,Labour,3.0%,Labour GAIN from Conservative
Dewsbury and Batley,E14001196,16.2%,49.8%,0.6%,10.1%,3.8%,0.0%,0.0%,19.4%,Labour,Labour,30.4%,Labour HOLD
Didcot and Wantage,E14001197,27.1%,24.3%,33.1%,10.9%,3.8%,0.0%,0.0%,0.9%,Conservative,Liberal Democrat,6.0%,Liberal Democrat GAIN from Conservative
Doncaster Central,E14001198,18.2%,42.0%,2.2%,24.2%,9.6%,0.0%,0.0%,3.8%,Labour,Labour,17.8%,Labour HOLD
Doncaster East and the Isle of Axholme,E14001199,28.1%,40.6%,2.0%,20.8%,5.3%,0.0%,0.0%,3.3%,Conservative,Labour,12.6%,Labour GAIN from Conservative
Doncaster North,E14001200,22.6%,53.4%,4.4%,0.0%,12.7%,0.0%,0.0%,6.9%,Labour,Labour,30.8%,Labour HOLD
Dorking and Horley,E14001201,28.2%,14.2%,41.1%,10.0%,6.6%,0.0%,0.0%,0.0%,Conservative,Liberal Democrat,12.9%,Liberal Democrat GAIN from Conservative
Dover and Deal,E14001202,27.2%,32.4%,6.0%,23.9%,8.7%,0.0%,0.0%,1.9%,Conservative,Labour,5.2%,Labour GAIN from Conservative
Droitwich and Evesham,E14001203,36.0%,26.8%,8.9%,18.5%,9.1%,0.0%,0.0%,0.8%,Conservative,Conservative,9.3%,Conservative HOLD
Dudley,E14001204,33.4%,40.7%,0.8%,20.0%,3.3%,0.0%,0.0%,1.9%,Conservative,Labour,7.3%,Labour GAIN from Conservative
Dulwich and West Norwood,E14001205,11.4%,59.5%,1.4%,6.8%,16.2%,0.0%,0.0%,4.8%,Labour,Labour,43.3%,Labour HOLD
