seatname,onscode,CurrentMP,PreviousWinner,Conservative,Labour,LibDem,Reform,Green,SNP,Plaid,Minor,Other,Calculus_Winner,Winner,Winner Check,diff_share,second_place,ColourWinning,VictoryType,WinnerStyle,Top2Parties
Bassetlaw,E14001079,Brendan Clarke-Smith,CON,0.1917725348,0.4553059224,0.04516344369,0.272878987,0.03487911217,0,0,0,0,Labour,Labour,SAME,0.1824269354,Reform,#E2585C,Likely,Likely Labour,
Bath,E14001080,Wera Hobhouse,LIB,0.1789984084,0.1750379391,0.5424362438,0.08409519932,0.01883998964,0,0,0,0.0005922197135,LibDem,LibDem,SAME,0.3634378354,Conservative,#F8A936,Strong,Strong LibDem,
Battersea,E14001081,Marsha De Cordova,LAB,0.204787234,0.5834119767,0.1056966369,0.05585106383,0.04746482498,0,0,0,0.002788263555,Labour,Labour,SAME,0.3786247426,Conservative,#E2585C,Strong,Strong Labour,
Beaconsfield,E14001082,Joy Morrissey,CON,0.3793182918,0.2880320804,0.1872738586,0.09861492014,0.04415662234,0,0,0,0.002604226683,Conservative,Conservative,SAME,0.09128621143,Labour,#019EFF,Lean,Lean Conservative,
Beckenham and Penge,E14001083,Bob Stewart,CON,0.2227759978,0.5219928009,0.1172026423,0.09250029667,0.04552826233,0,0,0,0,Labour,Labour,SAME,0.2992168031,Conservative,#E2585C,Strong,Strong Labour,
Bedford,E14001084,Mohammad Yasin,LAB,0.2276809793,0.5366179678,0.07947377061,0.1112023075,0.04134324508,0,0,0,0.003681729709,Labour,Labour,SAME,0.3089369885,Conservative,#E2585C,Strong,Strong Labour,
Bedfordshire Mid,E14001359,Nadine Dorries,CON,0.3094510519,0.3808340845,0.1713456592,0.09875349001,0.03033833843,0,0,0,0.009277375954,Labour,Labour,SAME,0.07138303251,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Bedfordshire North,E14001384,Richard Fuller,CON,0.2930558077,0.3596942377,0.1233940421,0.1733728646,0.05048304794,0,0,0,0,Labour,Labour,SAME,0.06663843004,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Bermondsey and Old Southwark,E14001085,Neil Coyle,LAB,0.1502405944,0.4561320402,0.3198035354,0.04719638984,0.02468273953,0,0,0,0.001944700691,Labour,Labour,SAME,0.1363285048,LibDem,#E2585C,Lean,Lean Labour,
Bethnal Green and Stepney,E14001086,Rushanara Ali,LAB,0.100707384,0.6885501975,0.09662374757,0.02476959811,0.07247896816,0,0,0,0.01687010466,Labour,Labour,SAME,0.5878428135,Conservative,#E2585C,Strong,Strong Labour,
Beverley and Holderness,E14001087,Graham Stuart,CON,0.2684691628,0.380108321,0.08903303149,0.2088497849,0.05165585597,0,0,0,0.001883843898,Labour,Labour,SAME,0.1116391583,Conservative,#E2585C,Lean,Lean Labour,
Bexhill and Battle,E14001088,Huw Merriman,CON,0.2868634367,0.3335808428,0.1210114886,0.1995751088,0.05783470495,0,0,0,0.00113441825,Labour,Labour,SAME,0.0467174061,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Bexleyheath and Crayford,E14001089,David Evennett,CON,0.2934051466,0.42994614,0.0813165769,0.144320766,0.05101137044,0,0,0,0,Labour,Labour,SAME,0.1365409934,Conservative,#E2585C,Lean,Lean Labour,
Bicester and Woodstock,E14001090,Unknown (new seat),CON,0.296084234,0.2762695145,0.2795934122,0.111618631,0.03609109624,0,0,0,0.0003431120261,Conservative,Conservative,SAME,0.01649082175,LibDem,#019EFF,Too close to call,Too close to call Conservative,Conservative-LibDem
Birkenhead,E14001091,Mick Whitley,LAB,0.109398473,0.6419237339,0.05665425061,0.1190912271,0.0537937563,0,0,0,0.01913855905,Labour,Labour,SAME,0.5228325067,Reform,#E2585C,Strong,Strong Labour,
Birmingham Edgbaston,E14001092,Preet Gill,LAB,0.2022128436,0.597194023,0.0770845215,0.07783734459,0.0419984031,0,0,0,0.00367286415,Labour,Labour,SAME,0.3949811794,Conservative,#E2585C,Strong,Strong Labour,
Birmingham Erdington,E14001093,Jack Dromey,LAB,0.2902476965,0.5777910734,0.03338518607,0.06243867417,0.02381237286,0,0,0,0.01232499701,Labour,Labour,SAME,0.2875433768,Conservative,#E2585C,Strong,Strong Labour,
Birmingham Hall Green and Moseley,E14001094,Tahir Ali,LAB,0.1453523826,0.6250544473,0.113054273,0.03399686384,0.03950692569,0,0,0,0.04303510759,Labour,Labour,SAME,0.4797020646,Conservative,#E2585C,Strong,Strong Labour,
Birmingham Hodge Hill and Solihull North,E14001095,Liam Byrne,LAB,0.1923998956,0.6141321117,0.07066055873,0.08853338397,0.03427404999,0,0,0,0,Labour,Labour,SAME,0.4217322162,Conservative,#E2585C,Strong,Strong Labour,
Birmingham Ladywood,E14001096,Shabana Mahmood,LAB,0.1193066742,0.7476567284,0.06342141209,0.0265178277,0.04309735764,0,0,0,0,Labour,Labour,SAME,0.6283500542,Conservative,#E2585C,Strong,Strong Labour,
Birmingham Northfield,E14001097,Gary Sambrook,CON,0.2205255515,0.5463487751,0.05983886833,0.1339172795,0.0360438428,0,0,0,0.003325682702,Labour,Labour,SAME,0.3258232236,Conservative,#E2585C,Strong,Strong Labour,
Birmingham Perry Barr,E14001098,Khalid Mahmood,LAB,0.1761830223,0.652667068,0.06988561108,0.04344370861,0.03496688742,0,0,0,0.02285370259,Labour,Labour,SAME,0.4764840458,Conservative,#E2585C,Strong,Strong Labour,
Birmingham Selly Oak,E14001099,Steve McCabe,LAB,0.16884536,0.6109514752,0.07438585131,0.08788295763,0.05388724756,0,0,0,0.004047108341,Labour,Labour,SAME,0.4421061152,Conservative,#E2585C,Strong,Strong Labour,
Birmingham Yardley,E14001100,Jess Phillips,LAB,0.2009371976,0.566520654,0.1146284317,0.08939031223,0.02852340447,0,0,0,0,Labour,Labour,SAME,0.3655834564,Conservative,#E2585C,Strong,Strong Labour,
Bishop Auckland,E14001101,Dehenna Davison,CON,0.2067104538,0.4875757854,0.04521862943,0.2217986405,0.03642292853,0,0,0,0.002273562374,Labour,Labour,SAME,0.265777145,Reform,#E2585C,Strong,Strong Labour,
Blackburn,E14001102,Kate Hollern,LAB,0.1496830098,0.6461948939,0.05108559959,0.09215969451,0.04070692483,0,0,0,0.02016987737,Labour,Labour,SAME,0.4965118841,Conservative,#E2585C,Strong,Strong Labour,
Blackley and Middleton South,E14001103,Graham Stringer,LAB,0.1556495309,0.6402273028,0.0522532047,0.1194132417,0.03245671997,0,0,0,0,Labour,Labour,SAME,0.4845777719,Conservative,#E2585C,Strong,Strong Labour,
Blackpool North and Fleetwood,E14001104,Paul Maynard,CON,0.2112361393,0.4996823054,0.04671134887,0.2029145914,0.03793887967,0,0,0,0.00151673533,Labour,Labour,SAME,0.2884461661,Conservative,#E2585C,Strong,Strong Labour,
Blackpool South,E14001105,Scott Benton,CON,0.1902100082,0.5268022181,0.04462953477,0.1969356168,0.03888381623,0,0,0,0.00253880587,Labour,Labour,SAME,0.3298666013,Reform,#E2585C,Strong,Strong Labour,
Blaydon and Consett,E14001106,Unknown (changed seat),LAB,0.161091905,0.5208099493,0.05776051722,0.2098055942,0.04732186953,0,0,0,0.003210164773,Labour,Labour,SAME,0.311004355,Reform,#E2585C,Strong,Strong Labour,
Blyth and Ashington,E14001107,Ian Lavery,LAB,0.1539427532,0.5399904733,0.04867275798,0.2095873208,0.04780669467,0,0,0,0,Labour,Labour,SAME,0.3304031525,Reform,#E2585C,Strong,Strong Labour,
Bognor Regis and Littlehampton,E14001108,Nick Gibb,CON,0.2815246249,0.3415176274,0.1139764144,0.2122496861,0.04873531046,0,0,0,0.001996336619,Labour,Labour,SAME,0.05999300253,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Bolsover,E14001109,Mark Fletcher,CON,0.172250309,0.4941691945,0.04066958769,0.2501067296,0.04280417931,0,0,0,0,Labour,Labour,SAME,0.2440624649,Reform,#E2585C,Likely,Likely Labour,
Bolton North East,E14001110,Mark Logan,CON,0.2118807171,0.5430443527,0.05194299678,0.1572562334,0.03135609714,0,0,0,0.004519602967,Labour,Labour,SAME,0.3311636356,Conservative,#E2585C,Strong,Strong Labour,
Bolton South and Walkden,E14001111,Yasmin Qureshi,LAB,0.1696354253,0.6113819591,0.04896668173,0.1262812433,0.03624343028,0,0,0,0.007491260196,Labour,Labour,SAME,0.4417465338,Conservative,#E2585C,Strong,Strong Labour,
Bolton West,E14001112,Chris Green,CON,0.2503556188,0.5110843637,0.06300470511,0.1414159098,0.03249808513,0,0,0,0.001641317431,Labour,Labour,SAME,0.2607287449,Conservative,#E2585C,Strong,Strong Labour,
Bootle,E14001113,Peter Dowd,LAB,0.07963150435,0.7250455558,0.04397651346,0.1033002632,0.04804616319,0,0,0,0,Labour,Labour,SAME,0.6217452926,Reform,#E2585C,Strong,Strong Labour,
Boston and Skegness,E14001114,Matt Warman,CON,0.2757987859,0.3374429439,0.05700908193,0.294574373,0.03345724907,0,0,0,0.001717566232,Labour,Labour,SAME,0.04286857089,Reform,#E2585C,Too close to call,Too close to call Labour,Labour-Reform
Bournemouth East,E14001115,Tobias Ellwood,CON,0.2546171497,0.4634972264,0.09973934547,0.1403969969,0.03932096153,0,0,0,0.002428320004,Labour,Labour,SAME,0.2088800766,Conservative,#E2585C,Likely,Likely Labour,
Bournemouth West,E14001116,Conor Burns,CON,0.2472344614,0.4568529108,0.09337208212,0.1573075841,0.04345176713,0,0,0,0.001781194338,Labour,Labour,SAME,0.2096184494,Conservative,#E2585C,Likely,Likely Labour,
Bracknell,E14001117,James Sunderland,CON,0.30952051,0.370334442,0.1258083888,0.1459719143,0.04642461197,0,0,0,0.001940133038,Labour,Labour,SAME,0.060813932,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Bradford East,E14001118,Imran Hussain,LAB,0.161722463,0.594792918,0.08980519141,0.09810936439,0.03431346947,0,0,0,0.02125659372,Labour,Labour,SAME,0.4330704549,Conservative,#E2585C,Strong,Strong Labour,
Bradford South,E14001119,Judith Cummins,LAB,0.1960472633,0.5600328512,0.05052190961,0.1509563927,0.03759338738,0,0,0,0.004848195835,Labour,Labour,SAME,0.3639855879,Conservative,#E2585C,Strong,Strong Labour,
Bradford West,E14001120,Naz Shah,LAB,0.1294969571,0.7009475387,0.06327196158,0.04216418869,0.04691472152,0,0,0,0.01720463241,Labour,Labour,SAME,0.5714505816,Conservative,#E2585C,Strong,Strong Labour,
Braintree,E14001121,James Cleverly,CON,0.3131477168,0.3412038719,0.1000021368,0.2070770743,0.03564178722,0,0,0,0.002927412979,Labour,Labour,SAME,0.02805615505,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Brent East,E14001122,Dawn Butler,LAB,0.191526041,0.6235522642,0.08668204443,0.04227267209,0.0441665655,0,0,0,0.01180041277,Labour,Labour,SAME,0.4320262231,Conservative,#E2585C,Strong,Strong Labour,
Brent West,E14001123,Barry Gardiner,LAB,0.2348389701,0.5950928501,0.08022337849,0.04626805418,0.04357674711,0,0,0,0,Labour,Labour,SAME,0.36025388,Conservative,#E2585C,Strong,Strong Labour,
Brentford and Isleworth,E14001124,Ruth Cadbury,LAB,0.2027237354,0.5622135754,0.1181582361,0.06952010376,0.04366623433,0,0,0,0.003718115002,Labour,Labour,SAME,0.35948984,Conservative,#E2585C,Strong,Strong Labour,
Brentwood and Ongar,E14001125,Alex Burghart,CON,0.3401280705,0.3030246875,0.1341651739,0.1823460374,0.03920357444,0,0,0,0.001132456195,Conservative,Conservative,SAME,0.03710338296,Labour,#019EFF,Too close to call,Too close to call Conservative,Conservative-Labour
Bridgwater,E14001126,Ian Liddell-Grainger,CON,0.2773569488,0.3099975707,0.161502617,0.2136878603,0.03480488505,0,0,0,0.002650118151,Labour,Labour,SAME,0.03264062189,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Bridlington and the Wolds,E14001127,Greg Knight,CON,0.2695156322,0.362718752,0.07375849337,0.2361320487,0.05547180529,0,0,0,0.002403268445,Labour,Labour,SAME,0.09320311988,Conservative,#E2585C,Lean,Lean Labour,
Brigg and Immingham,E14001128,Martin Vickers,CON,0.2845404337,0.3565174442,0.05814736653,0.2486641821,0.05213057339,0,0,0,0,Labour,Labour,SAME,0.07197701046,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Brighton Kemptown and Peacehaven,E14001129,Lloyd Russell-Moyle,LAB,0.2439258517,0.5875551953,0.06561573412,0,0.1001727853,0,0,0,0.00273043367,Labour,Labour,SAME,0.3436293436,Conservative,#E2585C,Strong,Strong Labour,
Brighton Pavilion,E14001130,Caroline Lucas,Green,0.1523870418,0.4054241262,0.04523657289,0.03758169935,0.3575412049,0,0,0,0.00182935493,Labour,Labour,SAME,0.04788292128,Green,#E2585C,Too close to call,Too close to call Labour,Labour-Green
Bristol Central,E14001131,Thangam Debbonaire,LAB,0.1067988441,0.5901027452,0.0613661904,0.04023519024,0.1974835447,0,0,0,0.004013485311,Labour,Labour,SAME,0.3926192005,Green,#E2585C,Strong,Strong Labour,
Bristol East,E14001132,Kerry McCarthy,LAB,0.2178899563,0.6148887633,0.07653669869,0,0.08396643017,0,0,0,0.006718151567,Labour,Labour,SAME,0.3969988071,Conservative,#E2585C,Strong,Strong Labour,
Bristol North East,E14001133,Unknown (new seat),LAB,0.22214469,0.5612479179,0.05850177824,0.1050510962,0.04902534552,0,0,0,0.004029172106,Labour,Labour,SAME,0.3391032278,Conservative,#E2585C,Strong,Strong Labour,
Bristol North West,E14001134,Darren Jones,LAB,0.1972386205,0.5513049557,0.08864766195,0.09503650769,0.06493708249,0,0,0,0.002835171664,Labour,Labour,SAME,0.3540663352,Conservative,#E2585C,Strong,Strong Labour,
Bristol South,E14001135,Karin Smyth,LAB,0.1744685612,0.5670172298,0.07323786082,0.1254419333,0.05607518461,0,0,0,0.003759230253,Labour,Labour,SAME,0.3925486686,Conservative,#E2585C,Strong,Strong Labour,
Broadland and Fakenham,E14001136,Jerome Mayhew,CON,0.2756652448,0.3393053016,0.1316473695,0.2032703636,0.0501117205,0,0,0,0,Labour,Labour,SAME,0.06364005688,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Bromley and Biggin Hill,E14001137,Bob Neill,CON,0.2871959713,0.3830493946,0.1441765777,0.1314904104,0.05297332048,0,0,0,0.001114325512,Labour,Labour,SAME,0.09585342334,Conservative,#E2585C,Lean,Lean Labour,
Bromsgrove,E14001138,Sajid Javid,CON,0.2969371864,0.3585395397,0.1298186922,0.165964892,0.04873968968,0,0,0,0,Labour,Labour,SAME,0.06160235335,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Broxbourne,E14001139,Charles Walker,CON,0.32476137,0.3744862437,0.09024143739,0.1658618754,0.04323413812,0,0,0,0.00141493543,Labour,Labour,SAME,0.04972487367,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Broxtowe,E14001140,Darren Henry,CON,0.1967345208,0.5345631891,0.04571670908,0.1587150127,0.05829092451,0,0,0,0.005979643766,Labour,Labour,SAME,0.3378286684,Conservative,#E2585C,Strong,Strong Labour,
Buckingham and Bletchley,E14001141,Unknown (new seat),CON,0.2917650764,0.454754032,0.1240299615,0.1030883775,0.02458555458,0,0,0,0.001776997998,Labour,Labour,SAME,0.1629889556,Conservative,#E2585C,Likely,Likely Labour,
Buckinghamshire Mid,E14001360,Greg Smith,CON,0.3371474077,0.3089400226,0.1825935706,0.1356930299,0.03485058049,0,0,0,0.0007753887422,Conservative,Conservative,SAME,0.02820738505,Labour,#019EFF,Too close to call,Too close to call Conservative,Conservative-Labour
Burnley,E14001142,Antony Higginbotham,CON,0.2029773766,0.4831321064,0.09281444145,0.1823467354,0.03012542492,0,0,0,0.008603915133,Labour,Labour,SAME,0.2801547298,Conservative,#E2585C,Strong,Strong Labour,
Burton and Uttoxeter,E14001143,Kate Griffiths,CON,0.2704405277,0.4667793411,0.06161241467,0.1624706425,0.03869707412,0,0,0,0,Labour,Labour,SAME,0.1963388134,Conservative,#E2585C,Likely,Likely Labour,
Bury North,E14001144,James Daly,CON,0.2166593178,0.5543552331,0.05018639516,0.1393153485,0.03647733194,0,0,0,0.003006373512,Labour,Labour,SAME,0.3376959153,Conservative,#E2585C,Strong,Strong Labour,
Bury South,E14001145,Christian Wakeford,CON,0.2179840653,0.5506154614,0.06206716888,0.1304951914,0.0357553785,0,0,0,0.003082734516,Labour,Labour,SAME,0.3326313961,Conservative,#E2585C,Strong,Strong Labour,
Bury St Edmunds and Stowmarket,E14001146,Jo Churchill,CON,0.2876854363,0.3494377094,0.06079518264,0.1805112458,0.1191178816,0,0,0,0.002452544265,Labour,Labour,SAME,0.06175227309,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Calder Valley,E14001147,Craig Whittaker,CON,0.2195083486,0.5301515958,0.05434975457,0.1576280876,0.03641059002,0,0,0,0.001951623396,Labour,Labour,SAME,0.3106432472,Conservative,#E2585C,Strong,Strong Labour,
Camborne and Redruth,E14001148,George Eustice,CON,0.2418164858,0.4561355156,0.08181394166,0.175754749,0.04148999322,0,0,0,0.00298931479,Labour,Labour,SAME,0.2143190299,Conservative,#E2585C,Likely,Likely Labour,
Cambridge,E14001149,Daniel Zeichner,LAB,0.1582414345,0.4636964391,0.311558212,0,0.06515699975,0,0,0,0.001346914723,Labour,Labour,SAME,0.1521382271,LibDem,#E2585C,Likely,Likely Labour,
Cambridgeshire North East,E14001390,Steve Barclay,CON,0.3071805626,0.3213054692,0.07019066214,0.2487285174,0.05141369586,0,0,0,0.001181092872,Labour,Labour,SAME,0.0141249066,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Cambridgeshire North West,E14001401,Shailesh Vara,CON,0.2940807456,0.3745799167,0.1011560694,0.1722453735,0.05793789488,0,0,0,0,Labour,Labour,SAME,0.08049917104,Conservative,#E2585C,Lean,Lean Labour,
Cambridgeshire South,E14001481,Anthony Browne,CON,0.2438595835,0.2358779767,0.3939025758,0.09871397062,0.02727204755,0,0,0,0.0003738457512,LibDem,LibDem,SAME,0.1500429923,Conservative,#F8A936,Likely,Likely LibDem,
Cannock Chase,E14001150,Amanda Milling,CON,0.2867588438,0.4319719369,0.04223138425,0.1895173231,0.04952051206,0,0,0,0,Labour,Labour,SAME,0.1452130931,Conservative,#E2585C,Lean,Lean Labour,
Canterbury,E14001151,Rosie Duffield,LAB,0.215098383,0.5482368985,0.07543346971,0.1254821742,0.03370348724,0,0,0,0.002045587376,Labour,Labour,SAME,0.3331385155,Conservative,#E2585C,Strong,Strong Labour,
Carlisle,E14001152,John Stevenson,CON,0.2313689899,0.4888719292,0.05488748169,0.1870629731,0.03529217632,0,0,0,0.002516449743,Labour,Labour,SAME,0.2575029393,Conservative,#E2585C,Strong,Strong Labour,
Carshalton and Wallington,E14001153,Elliot Colburn,CON,0.2539489408,0.1855296035,0.4454970125,0.09499185225,0.01940249864,0,0,0,0.0006300923411,LibDem,LibDem,SAME,0.1915480717,Conservative,#F8A936,Likely,Likely LibDem,
Castle Point,E14001154,Rebecca Harris,CON,0.3348585591,0.3447010319,0.09036962894,0.1961583375,0.03391244251,0,0,0,0,Labour,Labour,SAME,0.009842472772,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Chatham and Aylesford,E14001157,Tracey Crouch,CON,0.3138625592,0.3928672986,0.08244075829,0.1652606635,0.04338862559,0,0,0,0.002180094787,Labour,Labour,SAME,0.07900473934,Conservative,#E2585C,Lean,Lean Labour,
Cheadle,E14001158,Mary Robinson,CON,0.2476375764,0.20483602,0.4317027979,0.09925884751,0.01623123958,0,0,0,0.0003335186215,LibDem,LibDem,SAME,0.1840652214,Conservative,#F8A936,Likely,Likely LibDem,
Chelmsford,E14001159,Vicky Ford,CON,0.2992353961,0.283086961,0.2776837598,0.1125293098,0.02697522683,0,0,0,0.0004893465185,Conservative,Conservative,SAME,0.01614843511,Labour,#019EFF,Too close to call,Too close to call Conservative,Conservative-Labour
Chelsea and Fulham,E14001160,Greg Hands,CON,0.2602191362,0.4741142727,0.1540763056,0.08024678621,0.02870230898,0,0,0,0.002641190186,Labour,Labour,SAME,0.2138951365,Conservative,#E2585C,Likely,Likely Labour,
Cheltenham,E14001161,Alex Chalk,CON,0.3220414614,0.1620340244,0.4889839174,0,0.02640141303,0,0,0,0.0005391837873,LibDem,LibDem,SAME,0.1669424561,Conservative,#F8A936,Likely,Likely LibDem,
Chesham and Amersham,E14001162,Cheryl Gillan,CON,0.3449851586,0.1362091861,0.417454304,0.05413216685,0.0412240275,0,0,0,0.005995157007,LibDem,LibDem,SAME,0.07246914545,Conservative,#F8A936,Too close to call,Too close to call LibDem,LibDem-Conservative
Cheshire Mid,E14001361,Unknown (new seat),CON,0.2204955807,0.5135026827,0.07427032081,0.1571565332,0.03257118686,0,0,0,0.002003695705,Labour,Labour,SAME,0.293007102,Conservative,#E2585C,Strong,Strong Labour,
Chester North and Neston,E14001163,Chris Matheson,LAB,0.1977112537,0.6025976083,0.0723647739,0.08562999921,0.04169636493,0,0,0,0,Labour,Labour,SAME,0.4048863546,Conservative,#E2585C,Strong,Strong Labour,
Chester South and Eddisbury,E14001164,Edward Timpson,CON,0.2730878074,0.3806449041,0.1165052413,0.1832277094,0.04545816892,0,0,0,0.001076168839,Labour,Labour,SAME,0.1075570967,Conservative,#E2585C,Lean,Lean Labour,
Chesterfield,E14001165,Toby Perkins,LAB,0.1567749667,0.4982703656,0.07027063691,0.2270682132,0.04521920007,0,0,0,0.002396617604,Labour,Labour,SAME,0.2712021524,Reform,#E2585C,Strong,Strong Labour,
Chichester,E14001166,Gillian Keegan,CON,0.2749661493,0.3166663396,0.1683902745,0.187111207,0.05149237622,0,0,0,0.001373653329,Labour,Labour,SAME,0.04170019035,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
Chingford and Woodford Green,E14001167,Iain Duncan Smith,CON,0.2575653869,0.560035675,0.06761661792,0.0831933296,0.03158899052,0,0,0,0,Labour,Labour,SAME,0.3024702881,Conservative,#E2585C,Strong,Strong Labour,
Chippenham,E14001168,Michelle Donelan,CON,0.2964013583,0.2165810833,0.3318701342,0.1279402021,0.02679310916,0,0,0,0.00041411297,LibDem,LibDem,SAME,0.03546877588,Conservative,#F8A936,Too close to call,Too close to call LibDem,LibDem-Conservative
Chipping Barnet,E14001169,Theresa Villiers,CON,0.2720384585,0.5171717971,0.08995410303,0.07897444014,0.04067421065,0,0,0,0.001186990583,Labour,Labour,SAME,0.2451333386,Conservative,#E2585C,Likely,Likely Labour,
Chorley,E14001170,Lindsay Hoyle,LAB,0,0.7922602145,0,0,0.1930956795,0,0,0,0.01464410598,Labour,Labour,SAME,0.599164535,Green,#E2585C,Strong,Strong Labour,
Christchurch,E14001171,Christopher Chope,CON,0.3020941988,0.2891358421,0.1425619835,0.2202720051,0.04511353607,0,0,0,0.0008224344058,Conservative,Conservative,SAME,0.01295835674,Labour,#019EFF,Too close to call,Too close to call Conservative,Conservative-Labour
Cities of London and Westminster,E14001172,Nickie Aiken,CON,0.232378806,0.4724910513,0.1820451633,0.07145697998,0.03930796765,0,0,0,0.002320031818,Labour,Labour,SAME,0.2401122453,Conservative,#E2585C,Likely,Likely Labour,
Clacton,E14001174,Giles Watling,CON,0.2873757433,0.330407496,0.07434552676,0.2553817121,0.0504487503,0,0,0,0.002040771543,Labour,Labour,SAME,0.04303175265,Conservative,#E2585C,Too close to call,Too close to call Labour,Labour-Conservative
