ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,CON (low),CON (high),LAB (low),LAB (high),LDM (low),LDM (high),RFM (low),RFM (high),GRN (low),GRN (high),SNP (low),SNP (high),PCY (low),PCY (high),OTH (low),OTH (high)
E14001081,Battersea,labour,conservative,labour,20.0%,52.9%,12.3%,8.1%,6.2%,,,0.5%,16.5%,23.2%,46.9%,57.8%,7.8%,17.6%,5.8%,10.6%,4.1%,9.5%,,,,,0.1%,2.0%
E14001082,Beaconsfield,conservative,brexit_party,conservative,36.4%,22.5%,7.0%,23.0%,6.3%,,,4.8%,30.8%,41.5%,16.3%,29.1%,4.1%,11.4%,17.4%,28.6%,4.3%,8.9%,,,,,1.0%,13.3%
E14001083,Beckenham and Penge,labour,conservative,labour,20.6%,49.6%,12.2%,11.4%,6.3%,,,0.0%,17.3%,24.0%,44.0%,55.5%,8.2%,16.4%,8.8%,14.2%,4.2%,8.6%,,,,,0.0%,0.0%
E14001084,Bedford,labour,conservative,labour,24.1%,50.7%,8.1%,12.6%,4.3%,,,0.2%,20.9%,27.7%,46.2%,54.8%,5.5%,11.5%,10.0%,15.5%,3.0%,6.1%,,,,,0.1%,0.7%
E14001085,Bermondsey and Old Southwark,labour,libdem,labour,11.3%,55.6%,18.9%,7.4%,6.1%,,,0.7%,9.0%,14.6%,50.1%,61.6%,13.8%,24.2%,5.4%,9.4%,3.8%,8.7%,,,,,0.1%,3.1%
E14001086,Bethnal Green and Stepney,labour,green,labour,6.6%,68.2%,6.6%,7.4%,9.5%,,,1.7%,4.5%,9.5%,62.7%,71.9%,4.1%,9.6%,5.4%,9.6%,6.2%,13.5%,,,,,0.4%,5.0%
E14001087,Beverley and Holderness,labour,conservative,conservative,30.0%,35.3%,8.8%,20.9%,4.6%,,,0.4%,25.2%,33.9%,30.5%,40.5%,6.2%,12.2%,17.2%,25.4%,3.1%,6.5%,,,,,0.1%,1.2%
E14001088,Bexhill and Battle,labour,conservative,conservative,32.2%,34.7%,8.5%,18.6%,5.5%,,,0.6%,28.3%,36.4%,29.4%,40.2%,5.5%,12.3%,14.1%,22.8%,4.0%,7.8%,,,,,0.1%,1.9%
E14001089,Bexleyheath and Crayford,labour,conservative,conservative,31.7%,36.5%,6.2%,21.1%,4.6%,,,0.0%,26.8%,35.7%,30.4%,42.3%,4.1%,10.1%,16.8%,26.1%,3.3%,7.2%,,,,,0.0%,0.0%
E14001090,Bicester and Woodstock,conservative,libdem,conservative,31.3%,19.8%,30.3%,13.9%,4.6%,,,0.2%,26.9%,36.1%,13.7%,26.6%,23.8%,35.8%,10.9%,18.5%,3.2%,6.9%,,,,,0.0%,0.9%
E14001091,Birkenhead,labour,brexit_party,labour,5.8%,67.1%,4.8%,14.7%,6.6%,,,1.0%,4.1%,8.0%,61.8%,70.1%,3.0%,8.0%,11.5%,18.0%,4.4%,9.1%,,,,,0.3%,3.5%
E14001092,Birmingham Edgbaston,labour,conservative,labour,21.4%,54.9%,6.3%,11.6%,5.1%,,,0.5%,17.9%,25.3%,49.4%,59.4%,4.0%,9.6%,9.0%,14.5%,3.5%,7.4%,,,,,0.1%,1.6%
E14001093,Birmingham Erdington,labour,conservative,labour,23.4%,49.2%,4.3%,17.4%,5.3%,,,0.5%,20.0%,26.4%,44.1%,52.8%,2.8%,7.2%,14.0%,21.8%,3.5%,7.5%,,,,,0.1%,1.9%
E14001094,Birmingham Hall Green and Moseley,labour,brexit_party,labour,7.9%,68.5%,5.4%,8.7%,7.2%,,,2.3%,5.6%,10.4%,63.7%,72.7%,3.4%,8.8%,6.8%,11.1%,4.9%,9.9%,,,,,0.6%,6.3%
E14001095,Birmingham Hodge Hill and Solihull North,labour,conservative,labour,14.1%,58.9%,6.0%,12.4%,7.4%,,,1.2%,11.3%,16.6%,53.7%,63.3%,3.8%,9.7%,9.9%,15.5%,5.2%,10.2%,,,,,0.3%,3.7%
E14001096,Birmingham Ladywood,labour,brexit_party,labour,5.3%,77.5%,3.3%,6.0%,5.7%,,,2.3%,3.1%,7.8%,71.5%,80.4%,2.1%,5.5%,4.6%,7.9%,3.4%,8.4%,,,,,0.7%,7.1%
E14001097,Birmingham Northfield,labour,conservative,conservative,24.1%,46.2%,5.4%,17.9%,6.1%,,,0.4%,20.3%,27.9%,41.4%,50.7%,3.5%,8.0%,14.8%,21.8%,4.3%,8.5%,,,,,0.1%,1.8%
E14001098,Birmingham Perry Barr,labour,conservative,labour,9.4%,68.9%,6.4%,8.2%,5.4%,,,1.7%,7.3%,12.0%,63.5%,72.9%,3.9%,9.6%,6.6%,10.3%,3.6%,7.9%,,,,,0.5%,5.1%
E14001099,Birmingham Selly Oak,labour,conservative,labour,17.0%,57.2%,6.0%,11.5%,6.6%,,,1.8%,14.0%,20.4%,51.9%,61.2%,3.7%,8.5%,8.9%,14.7%,4.7%,9.1%,,,,,0.6%,4.4%
E14001100,Birmingham Yardley,labour,brexit_party,labour,13.5%,56.5%,6.6%,16.4%,5.7%,,,1.2%,10.8%,16.6%,50.9%,60.7%,4.2%,10.0%,13.3%,19.9%,3.7%,8.5%,,,,,0.3%,3.9%
E14001101,Bishop Auckland,labour,conservative,conservative,25.5%,43.6%,4.8%,21.0%,4.7%,,,0.4%,21.7%,29.4%,38.1%,48.6%,2.8%,7.3%,16.5%,24.9%,3.4%,6.9%,,,,,0.1%,1.3%
E14001102,Blackburn,labour,brexit_party,labour,12.1%,63.3%,3.0%,12.4%,4.3%,,,4.9%,9.7%,14.7%,58.1%,67.8%,2.0%,4.5%,10.0%,15.1%,3.0%,5.9%,,,,,1.9%,10.1%
E14001103,Blackley and Middleton South,labour,brexit_party,labour,13.0%,62.4%,4.6%,15.2%,4.7%,,,0.0%,10.4%,16.0%,57.4%,66.9%,3.1%,7.3%,11.6%,18.8%,3.2%,7.1%,,,,,0.0%,0.0%
E14001104,Blackpool North and Fleetwood,labour,conservative,conservative,27.1%,42.3%,4.3%,21.4%,4.4%,,,0.4%,23.3%,31.1%,37.4%,46.8%,2.9%,6.4%,17.5%,25.1%,3.1%,6.1%,,,,,0.1%,1.4%
E14001105,Blackpool South,labour,brexit_party,conservative,23.5%,44.3%,3.2%,24.5%,4.2%,,,0.3%,20.1%,27.0%,39.5%,48.6%,2.2%,4.8%,20.5%,28.1%,2.7%,6.1%,,,,,0.1%,1.2%
E14001106,Blaydon and Consett,labour,brexit_party,labour,15.8%,53.1%,4.4%,21.0%,4.8%,,,0.9%,13.1%,18.8%,47.6%,57.6%,2.6%,6.4%,17.7%,24.3%,3.3%,6.7%,,,,,0.2%,2.7%
E14001107,Blyth and Ashington,labour,brexit_party,labour,13.5%,57.6%,4.6%,18.9%,5.3%,,,0.0%,11.0%,16.2%,52.8%,62.0%,2.9%,7.1%,15.3%,22.3%,3.7%,7.2%,,,,,0.0%,0.0%
E14001108,Bognor Regis and Littlehampton,labour,conservative,conservative,32.8%,33.6%,9.6%,19.3%,4.1%,,,0.6%,28.7%,37.5%,27.7%,38.3%,6.8%,13.0%,15.4%,23.5%,2.8%,5.6%,,,,,0.2%,1.9%
E14001109,Bolsover,labour,brexit_party,conservative,21.7%,44.0%,4.3%,25.8%,4.2%,,,0.0%,18.3%,25.1%,39.2%,48.7%,2.5%,6.4%,21.4%,30.5%,2.9%,6.4%,,,,,0.0%,0.0%
E14001110,Bolton North East,labour,conservative,conservative,23.0%,48.4%,3.9%,19.5%,4.8%,,,0.4%,19.5%,26.6%,43.6%,52.6%,2.5%,6.2%,16.1%,23.3%,3.2%,6.9%,,,,,0.1%,1.3%
E14001111,Bolton South and Walkden,labour,brexit_party,labour,14.8%,61.1%,3.8%,15.0%,4.7%,,,0.5%,11.9%,17.8%,56.4%,64.8%,2.5%,6.1%,12.0%,18.6%,3.3%,6.9%,,,,,0.1%,1.8%
E14001112,Bolton West,labour,conservative,conservative,28.9%,44.1%,6.1%,16.8%,3.8%,,,0.3%,24.8%,32.4%,38.7%,48.3%,3.7%,10.2%,13.3%,20.0%,2.8%,5.6%,,,,,0.1%,0.9%
E14001113,Bootle,labour,brexit_party,labour,2.2%,77.5%,3.7%,11.1%,5.2%,,,0.3%,0.7%,3.8%,73.8%,80.6%,2.4%,6.0%,8.8%,13.5%,3.5%,7.5%,,,,,0.1%,1.1%
E14001114,Boston and Skegness,conservative,brexit_party,conservative,37.6%,23.1%,5.0%,31.0%,3.1%,,,0.2%,33.7%,41.9%,18.2%,27.3%,3.3%,7.2%,25.6%,35.5%,2.2%,4.3%,,,,,0.1%,0.9%
E14001115,Bournemouth East,labour,conservative,conservative,26.3%,44.3%,8.8%,14.1%,5.9%,,,0.6%,22.7%,29.6%,39.1%,49.2%,5.7%,11.8%,11.3%,17.5%,4.2%,9.1%,,,,,0.2%,1.9%
E14001116,Bournemouth West,labour,conservative,conservative,28.2%,39.4%,6.0%,19.8%,6.3%,,,0.3%,23.9%,32.1%,33.8%,44.9%,3.7%,9.0%,15.9%,24.5%,4.2%,9.1%,,,,,0.1%,0.9%
E14001117,Bracknell,labour,conservative,conservative,29.4%,37.3%,10.8%,17.3%,4.9%,,,0.4%,25.3%,33.8%,31.9%,42.6%,6.3%,15.5%,13.6%,21.7%,3.4%,7.0%,,,,,0.1%,1.6%
E14001118,Bradford East,labour,brexit_party,labour,10.7%,62.0%,6.9%,14.2%,5.5%,,,0.7%,8.3%,13.6%,57.2%,66.4%,4.5%,10.7%,11.4%,17.0%,3.7%,8.2%,,,,,0.2%,2.3%
E14001119,Bradford South,labour,conservative,labour,21.5%,49.3%,4.6%,18.7%,5.5%,,,0.4%,18.3%,25.2%,43.7%,54.0%,2.8%,6.9%,14.7%,22.7%,3.9%,8.4%,,,,,0.1%,1.6%
E14001120,Bradford West,labour,brexit_party,labour,6.3%,72.9%,3.4%,9.3%,6.9%,,,1.2%,4.3%,8.6%,68.0%,76.4%,2.0%,5.3%,7.1%,11.4%,4.7%,10.0%,,,,,0.3%,3.8%
E14001121,Braintree,conservative,labour,conservative,35.6%,33.8%,7.4%,19.3%,3.5%,,,0.4%,31.1%,41.1%,27.4%,39.7%,4.7%,12.1%,14.4%,23.1%,2.4%,5.1%,,,,,0.1%,1.4%
E14001122,Brent East,labour,conservative,labour,13.4%,66.1%,5.7%,7.9%,5.6%,,,1.2%,10.6%,16.4%,61.3%,69.9%,3.7%,9.2%,5.6%,10.5%,3.8%,7.9%,,,,,0.3%,3.3%
E14001123,Brent West,labour,conservative,labour,22.2%,53.4%,9.5%,8.5%,5.4%,,,1.0%,18.5%,26.0%,47.7%,58.1%,5.9%,14.4%,5.9%,10.6%,3.5%,7.8%,,,,,0.2%,3.4%
E14001124,Brentford and Isleworth,labour,conservative,labour,14.5%,55.3%,11.6%,10.2%,6.2%,,,2.1%,11.8%,17.8%,49.6%,60.6%,8.3%,15.5%,8.0%,13.0%,4.3%,8.7%,,,,,0.5%,6.0%
E14001125,Brentwood and Ongar,conservative,labour,conservative,41.1%,22.8%,12.3%,19.5%,4.2%,,,0.2%,36.0%,46.2%,16.8%,28.9%,8.7%,17.3%,14.7%,24.3%,2.8%,5.8%,,,,,0.1%,0.8%
E14001126,Bridgwater,labour,conservative,conservative,28.4%,32.2%,12.4%,22.4%,4.1%,,,0.3%,24.9%,32.7%,25.8%,37.6%,8.8%,16.3%,18.1%,26.8%,3.0%,6.1%,,,,,0.1%,1.1%
E14001127,Bridlington and The Wolds,conservative,labour,conservative,35.7%,26.6%,7.8%,24.8%,4.7%,,,0.4%,30.8%,40.4%,20.8%,32.4%,4.9%,11.7%,19.6%,30.5%,3.2%,6.8%,,,,,0.1%,1.4%
E14001128,Brigg and Immingham,conservative,labour,conservative,33.3%,31.3%,8.9%,22.7%,3.8%,,,0.0%,29.3%,37.5%,25.6%,37.5%,5.4%,13.3%,17.8%,26.4%,2.7%,5.6%,,,,,0.0%,0.0%
E14001129,Brighton Kemptown and Peacehaven,labour,conservative,labour,20.0%,64.9%,5.3%,0.0%,9.1%,,,0.8%,16.2%,23.4%,60.0%,69.3%,3.3%,8.0%,0.0%,0.0%,6.6%,12.0%,,,,,0.2%,2.3%
E14001130,Brighton Pavilion,green,labour,green,8.3%,31.7%,5.3%,8.8%,44.9%,,,1.0%,5.7%,10.9%,25.5%,38.5%,3.0%,9.1%,6.6%,11.7%,37.5%,50.7%,,,,,0.3%,3.0%
E14001131,Bristol Central,labour,green,labour,7.9%,55.0%,4.4%,5.4%,26.8%,,,0.5%,5.0%,10.2%,48.5%,59.8%,2.7%,8.2%,3.9%,6.8%,21.9%,32.9%,,,,,0.1%,1.7%
E14001132,Bristol East,labour,conservative,labour,11.9%,70.9%,5.8%,0.0%,11.0%,,,0.5%,9.6%,15.0%,66.1%,74.2%,3.9%,8.9%,0.0%,0.0%,8.6%,14.3%,,,,,0.1%,1.3%
E14001133,Bristol North East,labour,conservative,labour,19.5%,53.5%,7.3%,13.2%,6.2%,,,0.3%,16.7%,22.7%,48.4%,57.2%,4.9%,10.6%,10.5%,16.1%,4.4%,8.9%,,,,,0.1%,1.4%
E14001134,Bristol North West,labour,conservative,labour,18.2%,55.6%,6.2%,9.6%,10.1%,,,0.4%,15.4%,21.3%,50.2%,60.0%,4.0%,10.0%,7.3%,12.7%,7.4%,13.5%,,,,,0.1%,1.6%
E14001135,Bristol South,labour,conservative,labour,17.4%,52.5%,5.2%,15.8%,8.7%,,,0.4%,14.0%,20.2%,46.8%,56.4%,3.3%,8.1%,12.6%,19.7%,6.6%,11.7%,,,,,0.1%,1.6%
E14001136,Broadland and Fakenham,conservative,labour,conservative,33.3%,29.0%,14.5%,18.1%,5.1%,,,0.0%,29.4%,37.7%,23.3%,34.3%,10.2%,19.4%,14.3%,22.4%,3.7%,7.1%,,,,,0.0%,0.0%
E14001137,Bromley and Biggin Hill,labour,conservative,conservative,26.0%,37.9%,15.4%,15.2%,5.2%,,,0.3%,21.3%,30.4%,31.8%,43.3%,10.7%,20.6%,11.9%,19.7%,3.4%,7.4%,,,,,0.1%,1.3%
E14001138,Bromsgrove,conservative,labour,conservative,35.8%,28.7%,10.9%,19.6%,4.7%,,,0.3%,31.0%,40.5%,23.0%,34.5%,7.3%,15.3%,15.0%,23.7%,3.3%,6.7%,,,,,0.1%,1.4%
E14001139,Broxbourne,conservative,labour,conservative,35.2%,33.2%,6.4%,20.6%,4.5%,,,0.2%,30.1%,39.6%,26.8%,39.3%,4.0%,9.7%,15.9%,26.8%,3.0%,6.1%,,,,,0.0%,0.8%
E14001140,Broxtowe,labour,conservative,conservative,23.2%,46.8%,4.2%,19.7%,5.2%,,,0.8%,19.2%,26.6%,42.0%,52.1%,2.6%,7.0%,15.5%,23.6%,3.6%,7.2%,,,,,0.2%,2.9%
E14001141,Buckingham and Bletchley,labour,conservative,conservative,30.2%,35.7%,12.8%,17.1%,3.9%,,,0.3%,25.8%,34.4%,29.6%,40.5%,8.9%,17.1%,13.5%,21.7%,2.5%,5.5%,,,,,0.1%,1.0%
E14001142,Burnley,labour,conservative,conservative,19.8%,48.6%,7.7%,18.9%,4.1%,,,0.9%,16.4%,23.0%,43.4%,53.7%,4.6%,11.8%,15.0%,22.6%,2.6%,5.5%,,,,,0.3%,3.3%
E14001143,Burton and Uttoxeter,labour,conservative,conservative,32.3%,39.7%,5.0%,17.7%,4.9%,,,0.4%,28.0%,36.3%,34.5%,44.5%,3.1%,7.6%,13.8%,21.5%,3.3%,6.8%,,,,,0.1%,1.8%
E14001144,Bury North,labour,conservative,conservative,21.7%,53.3%,4.8%,15.4%,4.5%,,,0.3%,18.6%,24.9%,48.3%,57.8%,2.9%,7.9%,12.2%,18.8%,3.1%,6.8%,,,,,0.1%,1.1%
E14001145,Bury South,labour,conservative,conservative,23.6%,51.0%,3.9%,16.6%,4.2%,,,0.6%,20.3%,27.4%,46.4%,55.0%,2.5%,6.3%,13.3%,20.3%,3.0%,6.2%,,,,,0.2%,2.0%
E14001146,Bury St Edmunds and Stowmarket,labour,conservative,conservative,32.5%,32.7%,5.9%,20.5%,8.0%,,,0.3%,27.8%,37.1%,27.0%,37.8%,3.8%,9.2%,16.3%,25.0%,5.8%,10.5%,,,,,0.1%,1.1%
E14001147,Calder Valley,labour,conservative,conservative,25.0%,52.4%,4.5%,14.5%,3.4%,,,0.3%,21.6%,28.1%,48.1%,56.9%,2.8%,6.6%,11.2%,18.3%,2.3%,5.1%,,,,,0.1%,1.1%
E14001148,Camborne and Redruth,labour,conservative,conservative,25.2%,47.6%,6.6%,15.8%,4.5%,,,0.3%,21.8%,28.5%,42.0%,52.1%,4.3%,9.8%,12.3%,19.5%,3.0%,6.2%,,,,,0.1%,1.0%
E14001149,Cambridge,labour,libdem,labour,8.2%,62.0%,22.8%,0.0%,6.5%,,,0.5%,5.7%,11.5%,56.3%,66.9%,18.1%,28.1%,0.0%,0.0%,4.5%,9.4%,,,,,0.1%,1.9%
E14001150,Cannock Chase,labour,conservative,conservative,32.1%,35.0%,3.1%,23.8%,6.0%,,,0.0%,28.2%,35.8%,29.9%,40.1%,2.1%,5.4%,19.4%,29.1%,4.2%,8.5%,,,,,0.0%,0.0%
E14001151,Canterbury,labour,conservative,labour,25.0%,50.6%,6.6%,12.6%,5.0%,,,0.3%,21.6%,28.1%,45.6%,54.9%,4.0%,10.2%,9.6%,16.0%,3.4%,7.4%,,,,,0.0%,0.9%
E14001152,Carlisle,labour,conservative,conservative,27.0%,45.4%,6.8%,16.5%,3.9%,,,0.3%,23.4%,31.4%,40.5%,49.5%,4.1%,10.5%,12.5%,20.2%,2.8%,5.4%,,,,,0.1%,1.1%
E14001153,Carshalton and Wallington,libdem,conservative,conservative,22.9%,19.4%,38.0%,15.1%,4.4%,,,0.3%,19.2%,26.6%,13.7%,24.9%,31.5%,44.0%,11.9%,18.7%,3.2%,6.4%,,,,,0.1%,1.1%
E14001154,Castle Point,conservative,labour,conservative,40.2%,28.6%,5.5%,22.3%,3.3%,,,0.0%,35.1%,45.0%,23.2%,34.1%,3.6%,8.6%,17.4%,27.3%,2.3%,4.8%,,,,,0.0%,0.0%
E14001155,Central Devon,labour,conservative,conservative,27.5%,35.2%,14.1%,16.0%,7.0%,,,0.2%,23.4%,31.6%,29.8%,40.3%,9.6%,18.8%,11.8%,19.6%,5.0%,9.9%,,,,,0.1%,1.0%
E14001156,Central Suffolk and North Ipswich,labour,conservative,conservative,31.4%,35.1%,7.4%,20.5%,5.3%,,,0.2%,27.2%,35.7%,29.6%,39.9%,4.9%,11.3%,16.4%,24.8%,3.8%,7.4%,,,,,0.0%,0.9%
E14001157,Chatham and Aylesford,labour,conservative,conservative,33.8%,34.5%,4.7%,21.8%,5.0%,,,0.2%,29.4%,37.7%,29.2%,40.0%,3.0%,7.3%,17.4%,25.9%,3.6%,6.9%,,,,,0.0%,0.8%
E14001158,Cheadle,libdem,conservative,conservative,25.1%,13.3%,46.9%,11.0%,3.4%,,,0.3%,21.8%,29.1%,8.8%,18.6%,41.3%,51.6%,8.2%,13.9%,2.4%,4.8%,,,,,0.0%,1.1%
E14001159,Chelmsford,conservative,libdem,conservative,29.0%,24.6%,27.1%,14.9%,4.2%,,,0.2%,24.9%,33.3%,19.1%,30.3%,21.1%,32.7%,11.4%,18.9%,3.0%,6.4%,,,,,0.1%,1.1%
E14001160,Chelsea and Fulham,labour,conservative,conservative,33.0%,35.9%,15.7%,9.9%,5.0%,,,0.6%,27.6%,37.2%,29.5%,41.4%,10.6%,22.1%,7.3%,12.8%,3.5%,7.6%,,,,,0.1%,2.2%
E14001161,Cheltenham,libdem,conservative,conservative,34.3%,10.7%,50.3%,0.0%,4.4%,,,0.3%,29.5%,39.4%,4.9%,17.4%,43.4%,56.7%,0.0%,0.0%,3.2%,6.5%,,,,,0.1%,1.1%
E14001162,Chesham and Amersham,conservative,libdem,conservative,33.5%,13.9%,32.5%,14.7%,5.1%,,,0.3%,28.8%,37.7%,9.1%,20.4%,25.6%,39.0%,10.6%,19.0%,3.4%,7.4%,,,,,0.1%,1.4%
E14001163,Chester North and Neston,labour,conservative,labour,18.7%,57.2%,6.9%,12.0%,5.2%,,,0.0%,15.9%,21.8%,51.7%,61.6%,4.3%,11.3%,9.2%,14.8%,3.4%,7.4%,,,,,0.0%,0.0%
E14001164,Chester South and Eddisbury,conservative,labour,conservative,34.6%,34.4%,11.1%,14.8%,4.5%,,,0.6%,30.2%,39.6%,28.3%,40.4%,7.4%,14.7%,11.3%,18.9%,3.0%,6.7%,,,,,0.1%,2.2%
E14001165,Chesterfield,labour,brexit_party,labour,16.4%,52.6%,5.5%,20.4%,4.8%,,,0.4%,13.8%,19.7%,47.3%,57.0%,3.3%,8.6%,16.9%,24.0%,3.4%,6.6%,,,,,0.1%,1.7%
E14001166,Chichester,conservative,libdem,conservative,32.2%,18.0%,26.6%,18.4%,4.7%,,,0.2%,27.9%,36.8%,12.3%,23.5%,20.4%,33.3%,14.4%,22.9%,3.0%,7.0%,,,,,0.1%,0.8%
E14001167,Chingford and Woodford Green,labour,conservative,conservative,27.4%,46.9%,6.1%,14.0%,4.7%,,,0.9%,23.9%,31.5%,40.7%,51.4%,3.5%,9.8%,10.5%,17.5%,3.1%,7.1%,,,,,0.2%,3.1%
E14001168,Chippenham,conservative,libdem,conservative,33.5%,14.0%,32.8%,16.0%,3.6%,,,0.2%,28.6%,38.4%,8.3%,19.6%,27.0%,38.3%,12.5%,19.8%,2.5%,4.9%,,,,,0.0%,0.7%
E14001169,Chipping Barnet,labour,conservative,conservative,28.6%,45.9%,9.5%,10.1%,5.5%,,,0.4%,24.7%,32.7%,41.3%,50.8%,5.9%,13.9%,7.3%,13.0%,3.9%,7.8%,,,,,0.1%,1.9%
E14001171,Christchurch,conservative,brexit_party,conservative,36.7%,20.4%,14.8%,22.5%,5.1%,,,0.5%,31.6%,41.3%,15.1%,26.4%,9.9%,19.5%,17.9%,27.9%,3.5%,7.4%,,,,,0.1%,1.6%
E14001172,Cities of London and Westminster,labour,conservative,conservative,25.3%,37.0%,22.1%,8.9%,6.0%,,,0.6%,21.8%,29.0%,32.4%,41.1%,17.7%,26.1%,7.0%,11.6%,4.4%,8.2%,,,,,0.1%,1.9%
E14001173,City of Durham,labour,brexit_party,labour,14.1%,55.3%,8.4%,15.5%,5.7%,,,1.0%,11.1%,17.3%,50.1%,59.2%,5.6%,12.4%,12.7%,19.0%,3.6%,7.9%,,,,,0.3%,3.0%
E14001174,Clacton,conservative,brexit_party,conservative,37.8%,21.6%,6.4%,28.6%,4.7%,,,0.9%,32.8%,42.3%,16.8%,27.6%,4.3%,9.7%,22.2%,34.3%,3.3%,6.5%,,,,,0.2%,2.3%
E14001175,Clapham and Brixton Hill,labour,conservative,labour,13.5%,60.4%,11.7%,5.9%,6.8%,,,1.6%,10.1%,17.0%,54.4%,66.3%,7.1%,16.3%,4.3%,7.9%,4.5%,10.1%,,,,,0.4%,5.8%
E14001176,Colchester,labour,conservative,conservative,32.0%,38.9%,10.7%,13.6%,4.6%,,,0.3%,28.0%,36.1%,34.2%,43.6%,7.5%,14.2%,10.5%,17.5%,3.3%,6.6%,,,,,0.1%,0.9%
