PCON24CD,Seat,Region,mean_Con,mean_Lab,mean_LDem,mean_Green,mean_Reform,mean_Plaid,mean_SNP,mean_Other,lo_Con,lo_Lab,lo_LDem,lo_Green,lo_Reform,lo_Plaid,lo_SNP,lo_Other,hi_Con,hi_Lab,hi_LDem,hi_Green,hi_Reform,hi_Plaid,hi_SNP,hi_Other
E14001087,Beverley and Holderness,Yorkshire and The Humber,34.530947528,37.039516686,11.810739288,2.865347241,12.506578679,0.000000000,0.000000000,1.246870577,  27.16 ,  27.81 ,  4.17 ,  0.40 ,  5.36 ,  -   ,  -   ,  0.22 ,  42.60 ,  45.97 ,  22.81 ,  8.46 ,  22.56 ,  -   ,  -   ,  3.95 
E14001088,Bexhill and Battle,South East,29.504430540,35.229518406,11.806897786,3.168117295,18.853359401,0.000000000,0.000000000,1.437676573,  22.58 ,  26.66 ,  4.73 ,  0.61 ,  9.88 ,  -   ,  -   ,  0.28 ,  37.03 ,  44.24 ,  21.46 ,  8.21 ,  29.49 ,  -   ,  -   ,  4.39 
E14001089,Bexleyheath and Crayford,London,29.642544847,44.349947756,4.582576524,2.781159973,18.643770901,0.000000000,0.000000000,0.000000000,  22.75 ,  34.87 ,  1.33 ,  0.61 ,  9.30 ,  -   ,  -   ,  -   ,  36.83 ,  54.14 ,  11.41 ,  6.74 ,  29.74 ,  -   ,  -   ,  -   
E14001090,Bicester and Woodstock,South East,26.690220282,27.569309178,32.567355006,5.422079960,6.516902374,0.000000000,0.000000000,1.234133200,  21.87 ,  22.21 ,  25.70 ,  2.65 ,  3.52 ,  -   ,  -   ,  0.34 ,  31.50 ,  33.89 ,  40.66 ,  9.11 ,  10.66 ,  -   ,  -   ,  2.73 
E14001091,Birkenhead,North West,6.981620589,56.798280340,3.897949000,19.641241351,9.037506090,0.000000000,0.000000000,3.643402630,  4.51 ,  43.23 ,  0.68 ,  7.85 ,  3.56 ,  -   ,  -   ,  0.53 ,  10.03 ,  69.41 ,  11.14 ,  34.81 ,  16.40 ,  -   ,  -   ,  10.32 
E14001092,Birmingham Edgbaston,West Midlands,17.805307734,51.627864913,8.812801795,9.616035652,8.159676521,0.000000000,0.000000000,3.978313386,  13.82 ,  41.57 ,  3.38 ,  3.39 ,  3.68 ,  -   ,  -   ,  0.93 ,  22.26 ,  61.10 ,  18.11 ,  19.08 ,  14.90 ,  -   ,  -   ,  9.49 
E14001093,Birmingham Erdington,West Midlands,17.512377824,56.067142274,2.261018345,7.186672652,11.045339200,0.000000000,0.000000000,5.927449706,  13.27 ,  47.06 ,  0.74 ,  2.48 ,  6.11 ,  -   ,  -   ,  1.86 ,  21.95 ,  65.70 ,  5.07 ,  14.02 ,  17.90 ,  -   ,  -   ,  13.21 
E14001094,Birmingham Hall Green and Moseley,West Midlands,7.291798812,55.905331284,4.866438798,2.443854160,8.981290524,0.000000000,0.000000000,20.511286423,  4.85 ,  43.05 ,  1.40 ,  0.39 ,  4.17 ,  -   ,  -   ,  8.57 ,  10.40 ,  68.06 ,  11.10 ,  6.99 ,  16.27 ,  -   ,  -   ,  34.76 
E14001095,Birmingham Hodge Hill and Solihull North,West Midlands,14.458764227,55.506352605,3.987467170,4.269249662,8.224829953,0.000000000,0.000000000,13.553336382,  10.65 ,  42.63 ,  1.10 ,  0.76 ,  3.66 ,  -   ,  -   ,  4.18 ,  19.05 ,  66.88 ,  10.34 ,  11.15 ,  15.23 ,  -   ,  -   ,  27.63 
E14001096,Birmingham Ladywood,West Midlands,8.023680246,57.030016104,11.898994293,6.499183234,6.219649566,0.000000000,0.000000000,10.328476556,  5.74 ,  45.33 ,  5.29 ,  2.20 ,  2.73 ,  -   ,  -   ,  3.95 ,  10.82 ,  67.63 ,  21.27 ,  13.47 ,  11.89 ,  -   ,  -   ,  21.36 
E14001097,Birmingham Northfield,West Midlands,22.128214845,48.452014516,2.079834680,9.868536773,14.667899985,0.000000000,0.000000000,2.803499201,  16.56 ,  38.30 ,  0.56 ,  3.40 ,  7.80 ,  -   ,  -   ,  0.66 ,  27.91 ,  57.35 ,  5.24 ,  20.49 ,  24.64 ,  -   ,  -   ,  7.30 
E14001098,Birmingham Perry Barr,West Midlands,12.527524432,54.899025460,4.922009183,4.012935469,6.405411840,0.000000000,0.000000000,17.233093615,  8.81 ,  42.08 ,  1.27 ,  0.97 ,  2.93 ,  -   ,  -   ,  7.07 ,  16.88 ,  65.73 ,  11.56 ,  9.35 ,  12.06 ,  -   ,  -   ,  34.01 
E14001099,Birmingham Selly Oak,West Midlands,16.897750939,62.212238225,5.702657257,3.782209190,6.457175456,0.000000000,0.000000000,4.947968931,  13.06 ,  51.84 ,  1.79 ,  0.65 ,  2.75 ,  -   ,  -   ,  1.09 ,  21.17 ,  71.88 ,  12.74 ,  11.16 ,  12.40 ,  -   ,  -   ,  13.49 
E14001100,Birmingham Yardley,West Midlands,13.015519679,52.291528688,6.549726053,5.641018396,16.623864708,0.000000000,0.000000000,5.878342476,  9.31 ,  41.70 ,  1.85 ,  1.54 ,  8.84 ,  -   ,  -   ,  1.49 ,  17.24 ,  62.58 ,  14.01 ,  13.27 ,  26.88 ,  -   ,  -   ,  14.01 
E14001101,Bishop Auckland,North East,26.398945068,49.531046014,3.434146063,1.902851618,16.575003217,0.000000000,0.000000000,2.158008020,  20.49 ,  40.26 ,  1.00 ,  0.22 ,  8.16 ,  -   ,  -   ,  0.43 ,  32.71 ,  58.31 ,  8.51 ,  6.39 ,  27.44 ,  -   ,  -   ,  6.07 
E14001102,Blackburn,North West,12.794153665,61.024556783,1.707174832,2.373491382,12.625275559,0.000000000,0.000000000,9.475347779,  9.41 ,  50.08 ,  0.42 ,  0.36 ,  6.35 ,  -   ,  -   ,  2.91 ,  16.85 ,  70.19 ,  3.93 ,  7.12 ,  20.48 ,  -   ,  -   ,  19.77 
E14001103,Blackley and Middleton South,North West,13.763775757,62.615945428,4.648463849,5.867417794,13.104397172,0.000000000,0.000000000,0.000000000,  10.15 ,  52.53 ,  1.34 ,  1.55 ,  6.31 ,  -   ,  -   ,  -   ,  17.84 ,  71.99 ,  10.69 ,  13.99 ,  22.32 ,  -   ,  -   ,  -   
E14001104,Blackpool North and Fleetwood,North West,26.029019923,50.608975214,3.629557161,2.705344730,15.201153834,0.000000000,0.000000000,1.825949139,  20.50 ,  41.33 ,  0.94 ,  0.30 ,  7.59 ,  -   ,  -   ,  0.37 ,  32.31 ,  59.22 ,  9.04 ,  8.39 ,  25.79 ,  -   ,  -   ,  4.95 
E14001105,Blackpool South,North West,21.466477699,43.414473297,1.960096756,5.152134829,24.470215001,0.000000000,0.000000000,3.536602418,  16.21 ,  34.34 ,  0.51 ,  1.58 ,  16.03 ,  -   ,  -   ,  0.92 ,  27.95 ,  51.28 ,  4.81 ,  10.59 ,  34.27 ,  -   ,  -   ,  8.73 
E14001106,Blaydon and Consett,North East,14.904126698,52.871040322,7.532889883,1.732117867,20.814867175,0.000000000,0.000000000,2.144958057,  11.17 ,  44.09 ,  2.36 ,  0.28 ,  11.80 ,  -   ,  -   ,  0.39 ,  19.52 ,  61.86 ,  15.65 ,  5.14 ,  30.79 ,  -   ,  -   ,  6.51 
E14001107,Blyth and Ashington,North East,17.414320011,53.511123455,3.192765433,4.908809206,20.972981896,0.000000000,0.000000000,0.000000000,  12.39 ,  44.23 ,  0.80 ,  1.17 ,  12.52 ,  -   ,  -   ,  -   ,  22.21 ,  62.40 ,  7.44 ,  11.51 ,  30.85 ,  -   ,  -   ,  -   
E14001108,Bognor Regis and Littlehampton,South East,33.884159301,40.296710061,7.511872465,6.289716113,9.787381027,0.000000000,0.000000000,2.230161033,  27.17 ,  31.48 ,  2.73 ,  1.20 ,  4.44 ,  -   ,  -   ,  0.46 ,  41.72 ,  49.58 ,  15.26 ,  15.71 ,  17.08 ,  -   ,  -   ,  6.25 
E14001109,Bolsover,East Midlands,20.098906114,55.009403971,2.338646694,3.103599426,19.449443795,0.000000000,0.000000000,0.000000000,  15.39 ,  45.24 ,  0.52 ,  0.48 ,  11.35 ,  -   ,  -   ,  -   ,  25.58 ,  64.40 ,  6.11 ,  9.32 ,  30.20 ,  -   ,  -   ,  -   
E14001110,Bolton North East,North West,25.562891284,54.672069904,3.856046559,1.820031967,11.703288747,0.000000000,0.000000000,2.385671538,  20.18 ,  45.82 ,  1.08 ,  0.24 ,  5.83 ,  -   ,  -   ,  0.55 ,  30.75 ,  63.30 ,  9.48 ,  6.48 ,  20.56 ,  -   ,  -   ,  5.83 
E14001111,Bolton South and Walkden,North West,16.237358856,51.754649935,7.726178006,7.945709022,12.288323503,0.000000000,0.000000000,4.047780679,  12.32 ,  42.65 ,  3.17 ,  2.40 ,  6.02 ,  -   ,  -   ,  1.16 ,  20.86 ,  60.95 ,  14.98 ,  16.16 ,  20.49 ,  -   ,  -   ,  9.89 
E14001112,Bolton West,North West,24.415955219,49.372898911,2.966846586,2.836055279,18.277817390,0.000000000,0.000000000,2.130426615,  18.39 ,  40.02 ,  0.71 ,  0.39 ,  10.07 ,  -   ,  -   ,  0.51 ,  30.60 ,  58.48 ,  7.56 ,  8.47 ,  29.16 ,  -   ,  -   ,  6.04 
E14001113,Bootle,North West,3.564848287,71.098079148,4.401101426,7.664937076,7.268984855,0.000000000,0.000000000,6.002049207,  2.44 ,  59.97 ,  1.18 ,  2.05 ,  3.08 ,  -   ,  -   ,  1.36 ,  5.00 ,  80.82 ,  10.33 ,  17.35 ,  13.57 ,  -   ,  -   ,  14.32 
E14001114,Boston and Skegness,East Midlands,32.821769622,27.367146119,4.335386464,2.248447691,31.521175675,0.000000000,0.000000000,1.706074429,  26.61 ,  22.08 ,  1.93 ,  0.73 ,  23.38 ,  -   ,  -   ,  0.53 ,  39.80 ,  33.39 ,  7.77 ,  4.96 ,  40.33 ,  -   ,  -   ,  3.87 
E14001115,Bournemouth East,South West,23.293212171,39.264464649,5.451385375,11.415401966,17.913382719,0.000000000,0.000000000,2.662153120,  18.27 ,  29.84 ,  1.63 ,  3.83 ,  9.98 ,  -   ,  -   ,  0.61 ,  28.93 ,  48.53 ,  11.83 ,  22.86 ,  27.74 ,  -   ,  -   ,  6.87 
E14001116,Bournemouth West,South West,24.915409618,41.279167595,7.886215273,6.418815129,17.527123885,0.000000000,0.000000000,1.973268500,  19.37 ,  31.43 ,  2.46 ,  1.45 ,  10.08 ,  -   ,  -   ,  0.44 ,  31.02 ,  51.25 ,  16.28 ,  16.24 ,  27.44 ,  -   ,  -   ,  5.14 
E14001117,Bracknell,South East,31.908841874,38.229957923,9.312226847,2.821417921,15.155045706,0.000000000,0.000000000,2.572509730,  25.16 ,  29.13 ,  3.45 ,  0.42 ,  7.87 ,  -   ,  -   ,  0.53 ,  38.92 ,  47.00 ,  17.63 ,  8.71 ,  24.49 ,  -   ,  -   ,  7.50 
E14001118,Bradford East,Yorkshire and The Humber,9.602696748,44.084391299,10.463498410,17.305580448,8.585921988,0.000000000,0.000000000,9.957911107,  6.68 ,  30.99 ,  4.19 ,  6.86 ,  4.10 ,  -   ,  -   ,  2.57 ,  13.33 ,  56.58 ,  20.15 ,  31.63 ,  14.63 ,  -   ,  -   ,  23.08 
E14001119,Bradford South,Yorkshire and The Humber,15.342411721,52.951969670,2.691472542,4.554730532,16.960191544,0.000000000,0.000000000,7.499223991,  11.27 ,  42.55 ,  0.65 ,  0.91 ,  9.11 ,  -   ,  -   ,  1.95 ,  19.90 ,  63.12 ,  6.88 ,  11.38 ,  27.81 ,  -   ,  -   ,  17.82 
E14001120,Bradford West,Yorkshire and The Humber,7.064219048,58.686919935,2.416181877,6.947126669,6.392554045,0.000000000,0.000000000,18.492998425,  4.83 ,  45.77 ,  0.70 ,  1.85 ,  2.83 ,  -   ,  -   ,  7.45 ,  9.90 ,  71.16 ,  5.96 ,  15.91 ,  12.30 ,  -   ,  -   ,  32.95 
E14001121,Braintree,East of England,36.611687845,34.185317249,4.806281359,0.812478957,22.009750959,0.000000000,0.000000000,1.574483630,  29.70 ,  26.77 ,  1.45 ,  0.10 ,  13.37 ,  -   ,  -   ,  0.32 ,  43.55 ,  42.09 ,  10.60 ,  2.72 ,  32.88 ,  -   ,  -   ,  4.35 
E14001122,Brent East,London,13.159813701,44.419619460,15.776871734,12.049702533,8.919616589,0.000000000,0.000000000,5.674375982,  9.63 ,  32.50 ,  6.07 ,  3.50 ,  4.22 ,  -   ,  -   ,  1.44 ,  17.29 ,  57.61 ,  29.66 ,  25.55 ,  16.16 ,  -   ,  -   ,  13.05 
E14001123,Brent West,London,20.066751313,48.635660650,9.991382486,6.656429351,7.695017247,0.000000000,0.000000000,6.954758953,  15.02 ,  37.94 ,  3.44 ,  1.91 ,  3.14 ,  -   ,  -   ,  1.75 ,  25.62 ,  58.84 ,  19.01 ,  15.91 ,  15.00 ,  -   ,  -   ,  16.49 
E14001124,Brentford and Isleworth,London,16.626013952,43.384437894,15.801654943,4.673530800,10.941864126,0.000000000,0.000000000,8.572498286,  12.29 ,  33.09 ,  7.78 ,  1.26 ,  5.63 ,  -   ,  -   ,  3.01 ,  21.19 ,  53.08 ,  26.20 ,  10.64 ,  18.38 ,  -   ,  -   ,  18.26 
E14001125,Brentwood and Ongar,East of England,37.593992802,23.489102798,13.653662698,9.265164041,14.877173908,0.000000000,0.000000000,1.120903753,  28.95 ,  16.71 ,  6.33 ,  2.53 ,  7.04 ,  -   ,  -   ,  0.20 ,  46.90 ,  31.00 ,  24.14 ,  20.27 ,  25.42 ,  -   ,  -   ,  3.39 
E14001126,Bridgwater,South West,26.129026003,31.322002313,24.338667054,2.864207283,13.748972871,0.000000000,0.000000000,1.597124475,  19.66 ,  22.09 ,  12.37 ,  0.39 ,  6.37 ,  -   ,  -   ,  0.28 ,  33.62 ,  41.60 ,  38.25 ,  8.83 ,  23.64 ,  -   ,  -   ,  4.71 
E14001127,Bridlington and The Wolds,Yorkshire and The Humber,32.989442628,35.415847494,5.857126230,7.167970449,16.681436331,0.000000000,0.000000000,1.888176868,  25.19 ,  26.18 ,  1.63 ,  1.65 ,  8.42 ,  -   ,  -   ,  0.31 ,  40.12 ,  45.73 ,  14.23 ,  17.57 ,  27.72 ,  -   ,  -   ,  5.81 
E14001128,Brigg and Immingham,Yorkshire and The Humber,31.686264239,36.154569786,5.471528889,6.136150984,20.551486102,0.000000000,0.000000000,0.000000000,  24.11 ,  26.30 ,  1.36 ,  0.99 ,  11.30 ,  -   ,  -   ,  -   ,  39.34 ,  45.68 ,  13.58 ,  17.13 ,  33.41 ,  -   ,  -   ,  -   
E14001129,Brighton Kemptown and Peacehaven,South East,20.448765095,60.682133156,4.152903563,10.712417525,0.000000000,0.000000000,0.000000000,4.003780661,  15.76 ,  50.52 ,  1.21 ,  4.17 ,  -   ,  -   ,  -   ,  0.87 ,  26.10 ,  69.88 ,  9.95 ,  20.06 ,  -   ,  -   ,  -   ,  10.21 
E14001130,Brighton Pavilion,South East,13.770621306,34.323654724,0.878221101,43.758312366,5.785387867,0.000000000,0.000000000,1.483802637,  7.19 ,  22.78 ,  0.02 ,  28.92 ,  1.64 ,  -   ,  -   ,  0.02 ,  21.91 ,  47.18 ,  3.42 ,  58.26 ,  12.38 ,  -   ,  -   ,  6.48 
E14001131,Bristol Central,South West,10.711386851,45.845355643,0.485722785,35.429849242,5.344355180,0.000000000,0.000000000,2.183330299,  6.46 ,  32.02 ,  0.03 ,  20.62 ,  1.46 ,  -   ,  -   ,  0.28 ,  16.20 ,  59.83 ,  1.81 ,  51.48 ,  12.14 ,  -   ,  -   ,  7.08 
E14001132,Bristol East,South West,14.753550628,71.829405598,4.897223743,5.012325250,0.000000000,0.000000000,0.000000000,3.507494781,  10.56 ,  59.92 ,  1.47 ,  0.95 ,  -   ,  -   ,  -   ,  0.63 ,  20.11 ,  80.29 ,  11.45 ,  13.35 ,  -   ,  -   ,  -   ,  10.08 
E14001133,Bristol North East,South West,19.787782874,48.324681447,3.533666708,9.421586598,15.612838068,0.000000000,0.000000000,3.319444304,  15.09 ,  38.71 ,  0.80 ,  3.60 ,  7.83 ,  -   ,  -   ,  0.86 ,  24.93 ,  57.62 ,  8.75 ,  18.32 ,  25.61 ,  -   ,  -   ,  8.35 
E14001134,Bristol North West,South West,19.218551678,54.222272345,6.950171431,10.019949784,7.914795579,0.000000000,0.000000000,1.674259183,  14.91 ,  43.93 ,  2.13 ,  3.37 ,  3.95 ,  -   ,  -   ,  0.32 ,  23.62 ,  64.23 ,  15.56 ,  20.14 ,  13.59 ,  -   ,  -   ,  4.82 
E14001135,Bristol South,South West,15.704888907,58.121709432,4.744520252,9.536639294,9.481439505,0.000000000,0.000000000,2.410802610,  11.72 ,  46.62 ,  1.14 ,  2.29 ,  4.53 ,  -   ,  -   ,  0.37 ,  19.94 ,  68.46 ,  11.71 ,  22.27 ,  16.56 ,  -   ,  -   ,  7.40 
E14001136,Broadland and Fakenham,East of England,34.696834350,34.026981422,9.701904762,8.622652966,12.951626501,0.000000000,0.000000000,0.000000000,  27.80 ,  24.94 ,  3.46 ,  2.56 ,  6.63 ,  -   ,  -   ,  -   ,  41.60 ,  42.91 ,  18.82 ,  18.59 ,  21.50 ,  -   ,  -   ,  -   
E14001137,Bromley and Biggin Hill,London,29.128493115,43.079384823,7.331414329,3.044997265,15.474095647,0.000000000,0.000000000,1.941614820,  22.53 ,  33.98 ,  2.67 ,  0.37 ,  8.00 ,  -   ,  -   ,  0.41 ,  35.61 ,  52.44 ,  15.09 ,  9.57 ,  25.48 ,  -   ,  -   ,  5.83 
E14001138,Bromsgrove,West Midlands,34.256294643,40.907824733,8.450640436,2.806348511,12.215132569,0.000000000,0.000000000,1.363759107,  27.35 ,  32.39 ,  3.03 ,  0.44 ,  6.18 ,  -   ,  -   ,  0.24 ,  41.23 ,  49.34 ,  16.86 ,  7.73 ,  20.94 ,  -   ,  -   ,  4.23 
E14001139,Broxbourne,East of England,32.902637813,31.517367093,4.945270474,6.588167916,21.918198430,0.000000000,0.000000000,2.128358274,  25.02 ,  22.62 ,  1.18 ,  1.28 ,  11.50 ,  -   ,  -   ,  0.46 ,  41.20 ,  40.87 ,  11.44 ,  17.01 ,  33.56 ,  -   ,  -   ,  5.74 
E14001140,Broxtowe,East Midlands,24.670904304,46.971112466,0.236404645,4.939401007,19.623245663,0.000000000,0.000000000,3.558931916,  19.10 ,  38.08 ,  0.04 ,  0.96 ,  11.57 ,  -   ,  -   ,  0.87 ,  30.34 ,  55.79 ,  0.64 ,  13.27 ,  30.02 ,  -   ,  -   ,  8.85 
E14001141,Buckingham and Bletchley,South East,29.602924570,41.111449757,9.846326602,1.356784813,15.950802798,0.000000000,0.000000000,2.131711459,  23.53 ,  32.11 ,  3.66 ,  0.15 ,  8.69 ,  -   ,  -   ,  0.43 ,  36.61 ,  49.86 ,  19.12 ,  4.30 ,  25.73 ,  -   ,  -   ,  5.65 
E14001142,Burnley,North West,18.373551592,42.334916318,8.295631383,3.350623615,22.631773766,0.000000000,0.000000000,5.013503326,  12.89 ,  32.15 ,  2.79 ,  0.54 ,  13.32 ,  -   ,  -   ,  1.18 ,  24.01 ,  52.58 ,  17.16 ,  9.57 ,  33.84 ,  -   ,  -   ,  12.65 
