gss_code,name,region,Conservative,Labour,Liberal Democrat,Green Party,Reform UK,Scottish National Party,Plaid Cymru,Other,Winner,Runner Up,Difference,Outcome,winner_2019
E14001079,Bassetlaw,EM,0.2986941344,0.3672099217,0.06314425725,0.02834119591,0.2283280167,,,,Labour,Conservative,0.0685157873,Lean Labour,Conservative
E14001080,Bath,SW,0.1684196236,0.2152868908,0.4453070481,0.04673776692,0.1191009728,,,0.005147697802,Liberal Democrat,Labour,0.2300201572,Safe Liberal Democrat,Liberal Democrat
E14001081,Battersea,GL,0.1816849244,0.5083139684,0.1250242328,0.07346870954,0.0901093451,,,0.02139881971,Labour,Conservative,0.326629044,Safe Labour,Labour
E14001082,Beaconsfield,SE,0.3349199769,0.2393925936,0.09567069551,0.05287088196,0.2539193366,,,0.0232265154,Conservative,Reform UK,0.08100064034,Lean Conservative,Conservative
E14001083,Beckenham and Penge,GL,0.241092811,0.3883675022,0.1259391882,0.08731122996,0.1451130713,,,,Labour,Conservative,0.1472746913,Likely Labour,Labour
E14001084,Bedford,EE,0.2405206059,0.437383044,0.09955986715,0.05705869764,0.1517397552,,,0.01373803014,Labour,Conservative,0.196862438,Safe Labour,Labour
E14001085,Bermondsey and Old Southwark,GL,0.1297457198,0.4347517005,0.2960072399,0.06004800198,0.06526638406,,,0.01418095373,Labour,Liberal Democrat,0.1387444606,Likely Labour,Labour
E14001086,Bethnal Green and Stepney,GL,0.08178610242,0.6371481215,0.07871396897,0.1013874059,0.0686603708,,,0.03230403049,Labour,Green Party,0.5357607156,Safe Labour,Labour
E14001087,Beverley and Holderness,YH,0.3111688469,0.3532036235,0.08762082113,0.05398216414,0.1840116881,,,0.01001285615,Labour,Conservative,0.0420347766,Marginal,Conservative
E14001088,Bexhill and Battle,SE,0.3213119205,0.2853021721,0.1298677044,0.05224839548,0.2021023176,,,0.009167489862,Conservative,Labour,0.03600974837,Marginal,Conservative
E14001089,Bexleyheath and Crayford,GL,0.3055726035,0.3374934797,0.07678720632,0.047535493,0.2199938356,,,,Labour,Conservative,0.03192087622,Marginal,Conservative
E14001090,Bicester and Woodstock,SE,0.2663701798,0.2386770087,0.2580699137,0.04830453567,0.1808467985,,,0.007731563597,Conservative,Liberal Democrat,0.008300266003,Marginal,Conservative
E14001091,Birkenhead,NW,0.1213460413,0.5961544044,0.05491085983,0.06529577501,0.1474688277,,,0.01482409174,Labour,Reform UK,0.4486855768,Safe Labour,Labour
E14001092,Birmingham Edgbaston,WM,0.2479778626,0.4509308816,0.07592635639,0.07096710817,0.1373544939,,,0.01684329739,Labour,Conservative,0.202953019,Safe Labour,Labour
E14001093,Birmingham Erdington,WM,0.2299455923,0.479171735,0.0447179426,0.05756530821,0.1688290093,,,0.01977041253,Labour,Conservative,0.2492261428,Safe Labour,Labour
E14001094,Birmingham Hall Green and Moseley,WM,0.1098469736,0.5808629912,0.07312478856,0.1016497779,0.09456217141,,,0.03995329737,Labour,Conservative,0.4710160175,Safe Labour,Labour
E14001095,Birmingham Hodge Hill and Solihull North,WM,0.1752315599,0.507783531,0.05073954838,0.08842652966,0.1470808463,,,0.03073798469,Labour,Conservative,0.3325519711,Safe Labour,Labour
E14001096,Birmingham Ladywood,WM,0.07835298179,0.6842605867,0.0420422875,0.09140170902,0.07692301593,,,0.02701941907,Labour,Green Party,0.5928588777,Safe Labour,Labour
E14001097,Birmingham Northfield,WM,0.2215017587,0.4785452371,0.05418896299,0.05456896928,0.1796538938,,,0.01154117821,Labour,Conservative,0.2570434785,Safe Labour,Conservative
E14001098,Birmingham Perry Barr,WM,0.1451313702,0.5730297405,0.06496366676,0.08694992283,0.1005233912,,,0.0294019086,Labour,Conservative,0.4278983703,Safe Labour,Labour
E14001099,Birmingham Selly Oak,WM,0.2028407334,0.5056992441,0.06596777709,0.07290955617,0.1360372665,,,0.0165454227,Labour,Conservative,0.3028585108,Safe Labour,Labour
E14001100,Birmingham Yardley,WM,0.1605484527,0.5302672276,0.07989522281,0.06111480261,0.1358375748,,,0.03233671944,Labour,Conservative,0.3697187749,Safe Labour,Labour
E14001101,Bishop Auckland,NE,0.223635413,0.4453518018,0.04592131014,0.03252963815,0.2415607045,,,0.0110011325,Labour,Reform UK,0.2037910973,Safe Labour,Conservative
E14001102,Blackburn,NW,0.158185842,0.5427456036,0.05580023874,0.05115003301,0.1522248257,,,0.03989345693,Labour,Conservative,0.3845597616,Safe Labour,Labour
E14001103,Blackley and Middleton South,NW,0.1676360096,0.5497146941,0.04485090235,0.05887726935,0.1591613418,,,,Labour,Conservative,0.3820786845,Safe Labour,Labour
E14001104,Blackpool North and Fleetwood,NW,0.2342978356,0.4546379463,0.04722401418,0.03647186105,0.2147377933,,,0.01263054957,Labour,Conservative,0.2203401108,Safe Labour,Conservative
E14001105,Blackpool South,NW,0.2317666697,0.4217577759,0.05267171551,0.03364956748,0.2462110172,,,0.01394325424,Labour,Reform UK,0.1755467587,Safe Labour,Conservative
E14001106,Blaydon and Consett,NE,0.1683079807,0.5007274062,0.05487640902,0.0698068403,0.1913917463,,,0.01488961754,Labour,Reform UK,0.30933566,Safe Labour,Labour
E14001107,Blyth and Ashington,NE,0.2133661033,0.479429129,0.05812415825,0.04107340602,0.1958615816,,,,Labour,Conservative,0.2660630257,Safe Labour,Labour
E14001108,Bognor Regis and Littlehampton,SE,0.3271645002,0.2842749269,0.1307895857,0.04123203054,0.2056778277,,,0.01086112898,Conservative,Labour,0.0428895733,Marginal,Conservative
E14001109,Bolsover,EM,0.272791918,0.4132501834,0.048703091,0.03882380749,0.2095129836,,,,Labour,Conservative,0.1404582654,Likely Labour,Conservative
E14001110,Bolton North East,NW,0.2409081951,0.4470870073,0.0531068599,0.04222144396,0.1993907116,,,0.01728578214,Labour,Conservative,0.2061788122,Safe Labour,Conservative
E14001111,Bolton South and Walkden,NW,0.1881005597,0.5249535109,0.04665098165,0.05579658674,0.1545826044,,,0.02991575666,Labour,Conservative,0.3368529512,Safe Labour,Labour
E14001112,Bolton West,NW,0.2820756019,0.3658336443,0.06649713345,0.03783097799,0.2270813679,,,0.02068127443,Labour,Conservative,0.08375804245,Lean Labour,Conservative
E14001113,Bootle,NW,0.05851943825,0.7312012768,0.04394535185,0.06027988785,0.09397219684,,,0.01208184841,Labour,Reform UK,0.63722908,Safe Labour,Labour
E14001114,Boston and Skegness,EM,0.3935162171,0.212344152,0.05317089265,0.02197215822,0.3064411348,,,0.01255544518,Conservative,Reform UK,0.08707508221,Lean Conservative,Conservative
E14001115,Bournemouth East,SW,0.2895044734,0.3512525671,0.1258479855,0.05396164892,0.1699741446,,,0.009459180522,Labour,Conservative,0.06174809368,Lean Labour,Conservative
E14001116,Bournemouth West,SW,0.2590449599,0.3458530953,0.1141959869,0.06712483704,0.2042299635,,,0.00955115749,Labour,Conservative,0.0868081354,Lean Labour,Conservative
E14001117,Bracknell,SE,0.2453883138,0.3439314277,0.1444622396,0.06025771402,0.1954110375,,,0.01054926737,Labour,Conservative,0.09854311394,Lean Labour,Conservative
E14001118,Bradford East,YH,0.155187233,0.5325642112,0.08745612227,0.06829444799,0.1166638195,,,0.03983416611,Labour,Conservative,0.3773769782,Safe Labour,Labour
E14001119,Bradford South,YH,0.2183765675,0.4464984065,0.05849438833,0.07236293977,0.1663417738,,,0.03792592412,Labour,Conservative,0.228121839,Safe Labour,Labour
E14001120,Bradford West,YH,0.1340317648,0.5352937744,0.05103601952,0.08338390401,0.09849729412,,,0.09775724312,Labour,Conservative,0.4012620096,Safe Labour,Labour
E14001121,Braintree,EE,0.3131981195,0.3014659223,0.1066999764,0.03402871259,0.23435608,,,0.01025118926,Conservative,Labour,0.01173219711,Marginal,Conservative
E14001122,Brent East,GL,0.1697962622,0.5413652672,0.09329834257,0.09176215183,0.08395200575,,,0.01982597041,Labour,Conservative,0.371569005,Safe Labour,Labour
E14001123,Brent West,GL,0.2435104656,0.481967214,0.08654977683,0.06894169799,0.09821182138,,,0.02081902423,Labour,Conservative,0.2384567484,Safe Labour,Labour
E14001124,Brentford and Isleworth,GL,0.2083696001,0.4444679996,0.1527668612,0.07869719065,0.09744653185,,,0.01825181665,Labour,Conservative,0.2360983994,Safe Labour,Labour
E14001125,Brentwood and Ongar,EE,0.3495160373,0.252927199,0.1532377431,0.04587565237,0.1905921047,,,0.007851263593,Conservative,Labour,0.09658883827,Lean Conservative,Conservative
E14001126,Bridgwater,SW,0.2610181086,0.3011902139,0.1729529944,0.04075645032,0.2152237015,,,0.008858531383,Labour,Conservative,0.04017210533,Marginal,Conservative
E14001127,Bridlington and The Wolds,YH,0.3257825324,0.3004274181,0.08178210775,0.05088317857,0.2297323282,,,0.01139243503,Conservative,Labour,0.02535511429,Marginal,Conservative
E14001128,Brigg and Immingham,YH,0.3510298844,0.28304069,0.06493830266,0.04109651003,0.2476931763,,,,Conservative,Labour,0.06798919441,Lean Conservative,Conservative
E14001129,Brighton Kemptown and Peacehaven,SE,0.2464038057,0.5466839196,0.08784369194,0.1062479751,,,,0.01282060766,Labour,Conservative,0.300280114,Safe Labour,Labour
E14001130,Brighton Pavilion,SE,0.12107902,0.2883017947,0.04383500651,0.4242605659,0.1045166045,,,0.01800700836,Green Party,Labour,0.1359587711,Other,Green Party
E14001131,Bristol Central,SW,0.09387059508,0.4004294873,0.03984296803,0.3629848898,0.06947171439,,,0.03340034537,Labour,Green Party,0.03744459745,Marginal,Labour
E14001132,Bristol East,SW,0.2045519582,0.5692437345,0.08251417249,0.1261156121,,,,0.01757452276,Labour,Conservative,0.3646917763,Safe Labour,Labour
E14001133,Bristol North East,SW,0.1950450063,0.4983645563,0.06260778089,0.0772103308,0.1494265346,,,0.01734579117,Labour,Conservative,0.30331955,Safe Labour,Labour
E14001134,Bristol North West,SW,0.1978907477,0.4881408792,0.08253985605,0.09440897801,0.1262451755,,,0.01077436354,Labour,Conservative,0.2902501315,Safe Labour,Labour
E14001135,Bristol South,SW,0.1684764457,0.5103590909,0.06859798036,0.08924451675,0.1496639087,,,0.01365805765,Labour,Conservative,0.3418826452,Safe Labour,Labour
E14001136,Broadland and Fakenham,EE,0.291465282,0.3272078475,0.1392960021,0.04818510905,0.1868563825,,,,Labour,Conservative,0.03574256551,Marginal,Conservative
E14001137,Bromley and Biggin Hill,GL,0.2835292808,0.3217997438,0.1576186394,0.05756439511,0.1703010112,,,0.009186929788,Labour,Conservative,0.03827046298,Marginal,Conservative
E14001138,Bromsgrove,WM,0.2984346566,0.3117208153,0.136451938,0.0535608521,0.1913295211,,,0.008502216928,Labour,Conservative,0.01328615873,Marginal,Conservative
E14001139,Broxbourne,EE,0.3670921615,0.2751607861,0.08888649995,0.04256230839,0.2165740521,,,0.009724191925,Conservative,Labour,0.09193137549,Lean Conservative,Conservative
E14001140,Broxtowe,EM,0.2906965529,0.392909277,0.03705154345,0.05114051386,0.2129033429,,,0.01529876982,Labour,Conservative,0.1022127241,Likely Labour,Conservative
E14001141,Buckingham and Bletchley,SE,0.3094567148,0.2927221866,0.1685958605,0.04261650801,0.1761890869,,,0.01041964318,Conservative,Labour,0.01673452819,Marginal,Conservative
E14001142,Burnley,NW,0.1961814643,0.4639766762,0.08030194959,0.04142683875,0.1932916045,,,0.02482146671,Labour,Conservative,0.2677952119,Safe Labour,Conservative
E14001143,Burton and Uttoxeter,WM,0.3013593422,0.3625712211,0.0702813474,0.05219688305,0.1952404927,,,0.01835071359,Labour,Conservative,0.06121187888,Lean Labour,Conservative
E14001144,Bury North,NW,0.231201097,0.4810664238,0.05039949257,0.04206728759,0.177771535,,,0.01749416394,Labour,Conservative,0.2498653268,Safe Labour,Conservative
E14001145,Bury South,NW,0.2477703011,0.4158069016,0.07461907223,0.043781077,0.2032884626,,,0.01473418547,Labour,Conservative,0.1680366005,Safe Labour,Conservative
E14001146,Bury St Edmunds and Stowmarket,EE,0.3214371999,0.2872249598,0.0587034951,0.119093145,0.2023855925,,,0.01115560763,Conservative,Labour,0.0342122401,Marginal,Conservative
E14001147,Calder Valley,YH,0.2516358061,0.4479497582,0.06022569571,0.04248617773,0.1852674992,,,0.012435063,Labour,Conservative,0.1963139521,Safe Labour,Conservative
E14001148,Camborne and Redruth,SW,0.2480816927,0.3991002732,0.09562324771,0.05081807941,0.1962687252,,,0.01010798177,Labour,Conservative,0.1510185804,Safe Labour,Conservative
E14001149,Cambridge,EE,0.1391871644,0.4882095157,0.2697207766,0.09329111779,,,,0.009591425614,Labour,Liberal Democrat,0.2184887391,Safe Labour,Labour
E14001150,Cannock Chase,WM,0.3398574225,0.3198368756,0.03518140739,0.06665379238,0.2230797395,,,,Conservative,Labour,0.02002054685,Marginal,Conservative
E14001151,Canterbury,SE,0.2649803404,0.4438395964,0.07500080088,0.04810723696,0.1578055777,,,0.01026644767,Labour,Conservative,0.178859256,Safe Labour,Labour
E14001152,Carlisle,NW,0.2817892731,0.3907103195,0.06890674182,0.03248541204,0.2086724129,,,0.01743584065,Labour,Conservative,0.1089210465,Likely Labour,Conservative
E14001153,Carshalton and Wallington,GL,0.2169131694,0.203837104,0.397798655,0.03474995592,0.1397617091,,,0.006939406608,Liberal Democrat,Conservative,0.1808854856,Safe Liberal Democrat,Conservative
E14001154,Castle Point,EE,0.3867106181,0.2680752312,0.06418457073,0.02282505929,0.2427495485,,,,Conservative,Labour,0.1186353869,Likely Conservative,Conservative
E14001155,Central Devon,SW,0.275927239,0.310451405,0.1525011231,0.06532491459,0.1878455609,,,0.007949757436,Labour,Conservative,0.03452416595,Marginal,Conservative
E14001156,Central Suffolk and North Ipswich,EE,0.3103983746,0.3084611294,0.09718050691,0.07041460552,0.2051912589,,,0.008354124585,Conservative,Labour,0.00193724514,Marginal,Conservative
E14001157,Chatham and Aylesford,SE,0.3149488414,0.3305664676,0.08209935749,0.04186212969,0.2187180285,,,0.0118051754,Labour,Conservative,0.01561762625,Marginal,Conservative
E14001158,Cheadle,NW,0.2497784246,0.178838815,0.4060886476,0.02371289889,0.1350834054,,,0.006497808489,Liberal Democrat,Conservative,0.156310223,Safe Liberal Democrat,Conservative
E14001159,Chelmsford,EE,0.2932821277,0.2031585923,0.2964023054,0.03323611471,0.1673563602,,,0.00656449968,Liberal Democrat,Conservative,0.003120177743,Marginal,Conservative
E14001160,Chelsea and Fulham,GL,0.2782912624,0.3265302923,0.2171941612,0.05176172394,0.1121428456,,,0.01407971461,Labour,Conservative,0.04823902985,Marginal,Conservative
E14001161,Cheltenham,SW,0.2989169907,0.156113672,0.4963313191,0.04386566058,,,,0.004772357674,Liberal Democrat,Conservative,0.1974143284,Safe Liberal Democrat,Conservative
E14001162,Chesham and Amersham,SE,0.2696761546,0.2020065186,0.2961614651,0.05458136533,0.1683929177,,,0.009181578697,Liberal Democrat,Conservative,0.02648531043,Marginal,Conservative
E14001163,Chester North and Neston,NW,0.2304388956,0.4847007155,0.07979500987,0.0572238831,0.1368306218,,,,Labour,Conservative,0.2542618199,Safe Labour,Labour
E14001164,Chester South and Eddisbury,NW,0.3052538456,0.3162070201,0.1602371332,0.04354782607,0.1660718326,,,0.008682342454,Labour,Conservative,0.01095317449,Marginal,Conservative
E14001165,Chesterfield,EM,0.202613962,0.4843668142,0.07910025875,0.0510012778,0.1696147733,,,0.01330291396,Labour,Conservative,0.2817528523,Safe Labour,Labour
E14001166,Chichester,SE,0.2810226498,0.1895457329,0.3049025007,0.06203166074,0.1548314143,,,0.007666041494,Liberal Democrat,Conservative,0.02387985086,Marginal,Conservative
E14001167,Chingford and Woodford Green,GL,0.2784488926,0.4127747275,0.06235934506,0.05141043388,0.1675234724,,,0.02748312858,Labour,Conservative,0.1343258349,Likely Labour,Conservative
E14001168,Chippenham,SW,0.2677590833,0.1958707082,0.3166422774,0.03977930502,0.1740475934,,,0.005901032722,Liberal Democrat,Conservative,0.04888319405,Marginal,Conservative
E14001169,Chipping Barnet,GL,0.2855771676,0.3891868998,0.1083348706,0.06270458743,0.1352415796,,,0.01895489486,Labour,Conservative,0.1036097322,Likely Labour,Conservative
E14001171,Christchurch,SW,0.2749971441,0.2241992076,0.2102598651,0.04805465758,0.2355616269,,,0.006927498733,Conservative,Reform UK,0.03943551721,Marginal,Conservative
E14001172,Cities of London and Westminster,GL,0.2837416862,0.3231728109,0.229707351,0.05188266528,0.0933799067,,,0.01811557989,Labour,Conservative,0.03943112474,Marginal,Conservative
E14001173,City of Durham,NE,0.2165212223,0.4020348562,0.1353577008,0.05559091362,0.1813712379,,,0.009124069139,Labour,Conservative,0.1855136339,Safe Labour,Labour
E14001174,Clacton,EE,0.2624718813,0.2157509285,0.05991166966,0.03629192104,0.413528057,,,0.01204554242,Reform UK,Conservative,0.1510561757,Safe Reform UK,Conservative
E14001175,Clapham and Brixton Hill,GL,0.1387274825,0.524532756,0.1697532667,0.08302956073,0.07054694354,,,0.01340999055,Labour,Liberal Democrat,0.3547794892,Safe Labour,Labour
E14001176,Colchester,EE,0.2784123739,0.3492601897,0.1332666118,0.05637663127,0.1739085187,,,0.008775674596,Labour,Conservative,0.07084781576,Lean Labour,Conservative
E14001177,Colne Valley,YH,0.2454843046,0.438270284,0.07491110353,0.04844971628,0.1794323633,,,0.01345222821,Labour,Conservative,0.1927859794,Safe Labour,Conservative
E14001178,Congleton,NW,0.2970850648,0.3504245429,0.1081858826,0.04624943259,0.1882505632,,,0.009804514027,Labour,Conservative,0.05333947813,Lean Labour,Conservative
E14001179,Corby and East Northamptonshire,EM,0.2829676472,0.4026217741,0.07072569185,0.03840087003,0.193620825,,,0.01166319187,Labour,Conservative,0.1196541269,Likely Labour,Conservative
E14001180,Coventry East,WM,0.1794024485,0.5275398159,0.05916564205,0.06175419585,0.1539841435,,,0.01815375429,Labour,Conservative,0.3481373674,Safe Labour,Labour
E14001181,Coventry North West,WM,0.2208205577,0.4797790011,0.06292839966,0.05984777137,0.1614797416,,,0.01514452858,Labour,Conservative,0.2589584434,Safe Labour,Labour
E14001182,Coventry South,WM,0.2694537228,0.4124607247,0.0761302445,0.06527445944,0.1620102113,,,0.01467063717,Labour,Conservative,0.1430070019,Likely Labour,Labour
E14001183,Cramlington and Killingworth,NE,0.1901945477,0.5087434308,0.06342352691,0.04049065278,0.1841744009,,,0.01297344096,Labour,Conservative,0.3185488831,Safe Labour,Labour
E14001184,Crawley,SE,0.260598916,0.3926013789,0.06680108419,0.05652684123,0.2027249289,,,0.02074685081,Labour,Conservative,0.1320024628,Likely Labour,Conservative
E14001185,Crewe and Nantwich,NW,0.2353165545,0.4189248822,0.07397349567,0.0428674993,0.2144631213,,,0.01445444702,Labour,Conservative,0.1836083277,Safe Labour,Conservative
E14001186,Croydon East,GL,0.2635019118,0.4287439005,0.08033936841,0.06904549684,0.1457634716,,,,Labour,Conservative,0.1652419886,Safe Labour,Labour
E14001187,Croydon South,GL,0.3084911034,0.3001452322,0.1595440669,0.06508703875,0.1553866774,,,0.01134588131,Conservative,Labour,0.008345871186,Marginal,Conservative
E14001188,Croydon West,GL,0.1696702146,0.5709801921,0.06821167889,0.08663296667,0.08925885372,,,0.01524609404,Labour,Conservative,0.4013099775,Safe Labour,Labour
E14001189,Dagenham and Rainham,GL,0.1893531982,0.4957042977,0.06134331702,0.06256265358,0.1671607629,,,0.02387577065,Labour,Conservative,0.3063510996,Safe Labour,Labour
E14001190,Darlington,NE,0.2564286737,0.4294893331,0.05667518676,0.0391948705,0.2074233757,,,,Labour,Conservative,0.1730606594,Safe Labour,Conservative
E14001191,Dartford,SE,0.3031940963,0.3340990807,0.08718445238,0.04615282641,0.216372845,,,,Labour,Conservative,0.0309049844,Marginal,Conservative
E14001192,Daventry,EM,0.353129267,0.2717285915,0.1227139464,0.06152653701,0.181979234,,,,Conservative,Labour,0.08140067549,Lean Conservative,Conservative
E14001193,Derby North,EM,0.2694378095,0.426462734,0.07755875536,0.04779202981,0.1665797839,,,,Labour,Conservative,0.1570249245,Safe Labour,Conservative
E14001194,Derby South,EM,0.2676670042,0.4341221797,0.06556984259,0.04568576689,0.164449546,,,0.02250566065,Labour,Conservative,0.1664551754,Safe Labour,Labour
E14001195,Derbyshire Dales,EM,0.3149761556,0.3180091545,0.1132710113,0.09248373354,0.1524165769,,,0.008843368204,Labour,Conservative,0.003032998929,Marginal,Conservative
E14001196,Dewsbury and Batley,YH,0.1483972125,0.5559309755,0.04430355925,0.06182108382,0.1475199374,,,0.04202723156,Labour,Conservative,0.4075337629,Safe Labour,Labour
E14001197,Didcot and Wantage,SE,0.2190186113,0.2470147757,0.3113840033,0.04289202621,0.1719511639,,,0.00773941953,Liberal Democrat,Labour,0.06436922757,Lean Liberal Democrat,Conservative
E14001198,Doncaster Central,YH,0.2121236886,0.4218693146,0.05606852109,0.04820866795,0.2439096128,,,0.01782019496,Labour,Reform UK,0.1779597018,Safe Labour,Labour
E14001199,Doncaster East and the Isle of Axholme,YH,0.2561733903,0.396977964,0.05803319515,0.04497685914,0.2294856809,,,0.01435291053,Labour,Conservative,0.1408045737,Likely Labour,Conservative
E14001200,Doncaster North,YH,0.284404241,0.5102863096,0.09757628167,0.08828053162,,,,0.01921318789,Labour,Conservative,0.2258820687,Safe Labour,Labour
E14001201,Dorking and Horley,SE,0.2791713587,0.1371695983,0.3648964735,0.04798916024,0.1637927865,,,,Liberal Democrat,Conservative,0.08572511481,Lean Liberal Democrat,Conservative
E14001202,Dover and Deal,SE,0.2877333654,0.3721664593,0.06963746971,0.04308271173,0.2147234293,,,0.01265656461,Labour,Conservative,0.08443309391,Lean Labour,Conservative
E14001203,Droitwich and Evesham,WM,0.3079801466,0.2776356769,0.1296224132,0.06664523839,0.2085411277,,,0.009575397162,Conservative,Labour,0.03034446976,Marginal,Conservative
E14001204,Dudley,WM,0.3357298883,0.326698416,0.05286522359,0.05091109068,0.2127344267,,,0.02106095483,Conservative,Labour,0.009031472289,Marginal,Conservative
E14001205,Dulwich and West Norwood,GL,0.1091603729,0.6004719435,0.03182423638,0.1747843591,0.06630096974,,,0.0174581184,Labour,Green Party,0.4256875844,Safe Labour,Labour
E14001206,Dunstable and Leighton Buzzard,EE,0.2802978898,0.332436232,0.1110291561,0.06230932078,0.2047618271,,,0.009165574262,Labour,Conservative,0.05213834214,Lean Labour,Conservative
E14001207,Ealing Central and Acton,GL,0.1756537491,0.4916340879,0.1521202763,0.08706384561,0.07522454585,,,0.01830349521,Labour,Conservative,0.3159803388,Safe Labour,Labour
E14001208,Ealing North,GL,0.2346497476,0.4837903313,0.08162151807,0.07761915486,0.1036641251,,,0.01865512313,Labour,Conservative,0.2491405837,Safe Labour,Labour
E14001209,Ealing Southall,GL,0.1707705227,0.5541939564,0.08688906981,0.08141143865,0.0845002097,,,0.02223480277,Labour,Conservative,0.3834234337,Safe Labour,Labour
E14001210,Earley and Woodley,SE,0.3319433116,0.3662708497,0.2555446456,0.08574630782,,,,0.01019376957,Labour,Conservative,0.03432753813,Marginal,Conservative
E14001211,Easington,NE,0.1281643569,0.5259147244,0.05511301557,0.03703322989,0.2380683007,,,0.01570637257,Labour,Reform UK,0.2878464238,Safe Labour,Labour
E14001212,East Grinstead and Uckfield,SE,0.3259954228,0.2440289392,0.3361035434,0.08640627322,,,,0.007300126541,Liberal Democrat,Conservative,0.01010812061,Marginal,Conservative
E14001213,East Ham,GL,0.112631947,0.6238091498,0.04450902766,0.09763364264,0.08636870152,,,0.03504753137,Labour,Conservative,0.5111772029,Safe Labour,Labour
E14001214,East Hampshire,SE,0.2889952805,0.2139086345,0.2747726379,0.05967629846,0.1545097447,,,0.008137403884,Conservative,Liberal Democrat,0.01422264262,Marginal,Conservative
E14001215,East Surrey,SE,0.2976079222,0.2223397723,0.2389587575,0.05428432629,0.1785380257,,,0.008271195996,Conservative,Liberal Democrat,0.05864916468,Lean Conservative,Conservative
E14001216,East Thanet,SE,0.2444510437,0.4256485324,0.05767967027,0.05379584169,0.2055529706,,,0.01287194125,Labour,Conservative,0.1811974887,Safe Labour,Conservative
E14001217,East Wiltshire,SW,0.3192928641,0.2448797446,0.1608085627,0.05632698592,0.2110029375,,,0.007688905275,Conservative,Labour,0.07441311943,Lean Conservative,Conservative
E14001218,East Worthing and Shoreham,SE,0.2145717591,0.4547794645,0.08351717109,0.06608586163,0.1677213075,,,0.01332443617,Labour,Conservative,0.2402077053,Safe Labour,Conservative
E14001219,Eastbourne,SE,0.2094060875,0.1471821267,0.431998083,0.02287665883,0.1821191944,,,0.006417849569,Liberal Democrat,Conservative,0.2225919956,Safe Liberal Democrat,Conservative
E14001220,Eastleigh,SE,0.2868488904,0.1864413899,0.3116748462,0.03967043489,0.1692027051,,,0.006161733563,Liberal Democrat,Conservative,0.02482595577,Marginal,Conservative
E14001221,Edmonton and Winchmore Hill,GL,0.2407745975,0.4775512796,0.06188249038,0.08849280591,0.1143817929,,,0.01691703372,Labour,Conservative,0.2367766821,Safe Labour,Labour
