ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,,Margin,,CON (lo),CON (hi),LAB (lo),LAB (hi),LDM (lo),LDM (hi),RFM (lo),RFM (hi),GRN (lo),GRN (hi),SNP (lo),SNP (hi),PCY (lo),PCY (hi),OTH (lo),OTH (hi)
E14001086,Bethnal Green and Stepney,Labour,Green Party,Labour,6.99%,70.60%,5.10%,7.29%,8.50%,,,1.51%,,62.1%,,5.1%,9.3%,65.2%,74.1%,3.0%,8.7%,5.5%,9.2%,5.7%,12.1%,0.0%,0.0%,,,0.4%,4.8%
E14001087,Beverley and Holderness,Labour,Conservatives,Conservatives,33.17%,34.41%,7.56%,20.05%,4.39%,,,0.43%,,1.2%,,28.6%,36.8%,28.8%,39.6%,4.8%,11.1%,16.1%,24.2%,2.9%,6.5%,0.0%,0.0%,,,0.1%,1.5%
E14001088,Bexhill and Battle,Labour,Conservatives,Conservatives,33.23%,35.87%,7.29%,15.34%,5.26%,,,3.00%,,2.6%,,29.7%,36.6%,31.4%,39.9%,4.6%,10.1%,11.9%,19.4%,3.6%,7.6%,0.0%,0.0%,,,1.3%,5.8%
E14001089,Bexleyheath and Crayford,Labour,Conservatives,Conservatives,32.48%,35.46%,4.44%,23.04%,4.58%,,,0.00%,,3.0%,,28.7%,35.9%,31.0%,40.1%,2.8%,7.1%,19.1%,26.9%,3.0%,7.0%,0.0%,0.0%,,,0.0%,0.0%
E14001090,Bicester and Woodstock,Liberal Democrats,Conservatives,Conservatives,30.10%,13.35%,40.27%,12.50%,3.52%,,,0.25%,,10.2%,,26.2%,33.9%,9.2%,17.1%,36.1%,45.8%,9.5%,15.6%,2.4%,5.2%,0.0%,0.0%,,,0.0%,0.9%
E14001091,Birkenhead,Labour,Reform UK,Labour,5.95%,64.36%,4.58%,14.27%,9.78%,,,1.05%,,50.1%,,4.3%,7.7%,59.1%,68.7%,2.6%,7.5%,10.6%,17.8%,6.4%,14.3%,0.0%,0.0%,,,0.2%,3.6%
E14001092,Birmingham Edgbaston,Labour,Conservatives,Labour,19.63%,54.35%,7.30%,11.74%,5.65%,,,1.33%,,34.7%,,16.1%,23.0%,48.7%,59.4%,4.6%,10.7%,9.3%,14.8%,3.7%,8.7%,0.0%,0.0%,,,0.3%,4.2%
E14001093,Birmingham Erdington,Labour,Conservatives,Labour,22.13%,51.60%,4.00%,16.68%,4.82%,,,0.77%,,29.5%,,19.2%,25.2%,46.5%,55.5%,2.4%,6.6%,13.1%,20.4%,2.8%,7.5%,0.0%,0.0%,,,0.2%,2.4%
E14001094,Birmingham Hall Green and Moseley,Labour,Green Party,Labour,7.49%,63.94%,6.68%,8.54%,11.01%,,,2.33%,,52.9%,,5.1%,10.0%,56.4%,69.6%,3.9%,11.0%,6.6%,11.2%,6.7%,16.1%,0.0%,0.0%,,,0.6%,6.5%
E14001095,Birmingham Hodge Hill and Solihull North,Labour,Reform UK,Labour,14.11%,58.19%,4.44%,14.25%,7.34%,,,1.68%,,43.9%,,11.7%,16.5%,52.9%,61.8%,2.6%,7.0%,11.4%,17.8%,4.4%,10.9%,0.0%,0.0%,,,0.5%,4.6%
E14001096,Birmingham Ladywood,Labour,Reform UK,Labour,5.97%,73.51%,3.69%,6.64%,5.98%,,,4.21%,,66.9%,,4.4%,8.7%,68.7%,76.5%,2.4%,5.9%,5.2%,8.4%,4.1%,8.8%,0.0%,0.0%,,,1.6%,8.7%
E14001097,Birmingham Northfield,Labour,Conservatives,Conservatives,22.51%,46.94%,4.84%,19.60%,5.63%,,,0.48%,,24.4%,,19.7%,25.8%,41.7%,51.3%,2.8%,7.4%,16.1%,23.7%,3.7%,8.7%,0.0%,0.0%,,,0.1%,1.6%
E14001098,Birmingham Perry Barr,Labour,Conservatives,Labour,10.28%,63.08%,6.40%,9.19%,9.17%,,,1.87%,,52.8%,,7.8%,13.0%,57.6%,67.5%,4.0%,9.3%,7.0%,12.0%,5.8%,13.5%,0.0%,0.0%,,,0.6%,5.5%
E14001099,Birmingham Selly Oak,Labour,Conservatives,Labour,17.37%,57.76%,5.39%,10.56%,6.36%,,,2.56%,,40.4%,,14.6%,20.0%,52.4%,61.8%,3.4%,9.0%,8.2%,13.4%,4.1%,9.0%,0.0%,0.0%,,,0.9%,5.9%
E14001100,Birmingham Yardley,Labour,Reform UK,Labour,14.38%,54.25%,6.08%,16.83%,6.40%,,,2.05%,,37.4%,,11.3%,17.2%,47.8%,58.8%,3.8%,9.9%,13.3%,20.1%,4.1%,9.2%,0.0%,0.0%,,,0.5%,6.1%
E14001101,Bishop Auckland,Labour,Conservatives,Conservatives,24.71%,45.08%,3.52%,21.80%,4.38%,,,0.52%,,20.4%,,21.2%,27.7%,40.6%,51.2%,2.0%,5.8%,17.8%,25.8%,2.8%,6.6%,0.0%,0.0%,,,0.1%,1.8%
E14001102,Blackburn,Labour,Reform UK,Labour,10.82%,63.83%,3.47%,14.04%,3.78%,,,4.07%,,49.8%,,8.6%,13.0%,58.8%,67.4%,2.2%,5.4%,11.3%,17.3%,2.4%,5.8%,0.0%,0.0%,,,1.4%,9.2%
E14001103,Blackley and Middleton South,Labour,Reform UK,Labour,13.19%,60.84%,4.55%,16.75%,4.68%,,,0.00%,,44.1%,,10.2%,15.9%,55.7%,65.1%,2.7%,7.4%,13.5%,20.5%,3.0%,7.7%,0.0%,0.0%,,,0.0%,0.0%
E14001104,Blackpool North and Fleetwood,Labour,Conservatives,Conservatives,26.25%,42.23%,3.46%,23.21%,4.33%,,,0.52%,,16.0%,,23.0%,29.4%,37.1%,45.9%,2.0%,5.7%,18.8%,27.7%,2.7%,6.5%,0.0%,0.0%,,,0.1%,2.0%
E14001105,Blackpool South,Labour,Reform UK,Conservatives,21.67%,47.24%,2.60%,25.32%,2.89%,,,0.28%,,21.9%,,19.1%,23.8%,44.0%,50.5%,1.6%,4.1%,22.0%,28.5%,2.2%,4.0%,0.0%,0.0%,,,0.1%,0.8%
E14001106,Blaydon and Consett,Labour,Reform UK,Labour,16.91%,51.48%,4.19%,22.67%,4.08%,,,0.68%,,28.8%,,14.3%,19.6%,46.4%,55.4%,2.4%,6.6%,19.1%,26.4%,2.7%,5.8%,0.0%,0.0%,,,0.2%,2.3%
E14001107,Blyth and Ashington,Labour,Reform UK,Labour,13.28%,56.03%,3.44%,21.08%,6.17%,,,0.00%,,34.9%,,10.9%,15.7%,51.3%,60.5%,2.0%,6.0%,17.2%,24.5%,3.6%,8.6%,0.0%,0.0%,,,0.0%,0.0%
E14001108,Bognor Regis and Littlehampton,Labour,Conservatives,Conservatives,32.12%,35.67%,8.09%,18.76%,4.52%,,,0.84%,,3.5%,,28.5%,35.9%,31.3%,40.5%,5.7%,11.0%,15.0%,22.0%,3.1%,6.6%,0.0%,0.0%,,,0.3%,2.1%
E14001109,Bolsover,Labour,Reform UK,Conservatives,22.94%,41.28%,3.78%,27.50%,4.51%,,,0.00%,,13.8%,,20.2%,26.4%,37.0%,45.6%,2.4%,5.7%,23.6%,31.4%,2.9%,6.9%,0.0%,0.0%,,,0.0%,0.0%
E14001110,Bolton North East,Labour,Conservatives,Conservatives,23.70%,47.22%,4.40%,18.57%,5.60%,,,0.51%,,23.5%,,20.7%,26.5%,42.6%,51.2%,2.3%,7.3%,15.1%,21.6%,3.8%,8.5%,0.0%,0.0%,,,0.1%,1.7%
E14001111,Bolton South and Walkden,Labour,Conservatives,Labour,15.67%,58.52%,4.80%,15.04%,4.64%,,,1.33%,,42.9%,,12.7%,18.1%,53.7%,62.4%,2.9%,7.5%,12.3%,18.3%,3.1%,7.2%,0.0%,0.0%,,,0.4%,3.9%
E14001112,Bolton West,Labour,Conservatives,Conservatives,29.82%,42.93%,4.65%,17.99%,4.21%,,,0.40%,,13.1%,,26.3%,33.4%,37.8%,46.5%,2.8%,7.5%,14.0%,21.8%,2.6%,6.3%,0.0%,0.0%,,,0.1%,1.5%
E14001113,Bootle,Labour,Reform UK,Labour,2.11%,75.80%,4.35%,11.49%,5.79%,,,0.46%,,64.3%,,0.7%,3.6%,70.8%,79.0%,2.3%,7.6%,9.4%,14.0%,3.8%,8.6%,0.0%,0.0%,,,0.1%,1.9%
E14001114,Boston and Skegness,Reform UK,Conservatives,Conservatives,34.27%,21.99%,4.32%,35.95%,3.16%,,,0.31%,,1.7%,,30.8%,37.4%,17.6%,25.9%,2.9%,6.4%,31.9%,39.7%,2.3%,4.9%,0.0%,0.0%,,,0.1%,0.9%
E14001115,Bournemouth East,Labour,Conservatives,Conservatives,26.00%,41.98%,8.86%,14.16%,7.57%,,,1.42%,,16.0%,,22.8%,29.5%,36.2%,46.2%,5.5%,12.6%,10.8%,17.6%,5.0%,11.0%,0.0%,0.0%,,,0.5%,3.8%
E14001116,Bournemouth West,Labour,Conservatives,Conservatives,27.06%,40.05%,6.46%,18.99%,7.13%,,,0.31%,,13.0%,,23.7%,32.2%,34.1%,44.7%,3.8%,9.6%,14.7%,23.1%,4.4%,10.6%,0.0%,0.0%,,,0.1%,1.1%
E14001117,Bracknell,Labour,Conservatives,Conservatives,28.67%,35.34%,9.31%,21.61%,4.70%,,,0.38%,,6.7%,,24.2%,32.0%,29.3%,41.3%,5.8%,13.0%,17.4%,26.3%,3.0%,7.1%,0.0%,0.0%,,,0.1%,1.4%
E14001118,Bradford East,Labour,Reform UK,Labour,10.34%,61.53%,6.94%,14.02%,5.38%,,,1.79%,,47.5%,,7.9%,13.5%,56.1%,65.5%,4.4%,10.6%,11.3%,17.0%,3.1%,8.8%,0.0%,0.0%,,,0.4%,4.6%
E14001119,Bradford South,Labour,Conservatives,Labour,21.04%,47.16%,5.22%,18.98%,6.92%,,,0.68%,,26.1%,,17.6%,24.1%,42.7%,51.6%,3.0%,8.8%,15.2%,22.7%,4.5%,10.1%,0.0%,0.0%,,,0.1%,2.1%
E14001120,Bradford West,Labour,Reform UK,Labour,6.10%,74.09%,3.48%,9.25%,5.97%,,,1.12%,,64.8%,,4.1%,7.9%,70.1%,77.0%,2.1%,5.6%,7.3%,12.1%,3.6%,8.4%,0.0%,0.0%,,,0.3%,3.1%
E14001121,Braintree,Conservatives,Labour,Conservatives,34.35%,34.29%,5.56%,20.83%,3.86%,,,1.11%,,0.1%,,30.5%,38.1%,28.8%,39.1%,3.5%,8.5%,16.6%,24.7%,2.6%,5.7%,0.0%,0.0%,,,0.4%,3.0%
E14001122,Brent East,Labour,Conservatives,Labour,13.77%,63.12%,6.62%,8.70%,6.36%,,,1.44%,,49.4%,,11.0%,16.6%,57.8%,66.9%,4.1%,10.5%,7.0%,10.8%,3.9%,10.3%,0.0%,0.0%,,,0.4%,4.5%
E14001123,Brent West,Labour,Conservatives,Labour,23.36%,53.52%,8.16%,8.55%,5.27%,,,1.14%,,30.2%,,19.5%,26.6%,48.0%,57.5%,5.1%,12.0%,6.4%,11.4%,3.3%,8.6%,0.0%,0.0%,,,0.3%,3.6%
E14001124,Brentford and Isleworth,Labour,Conservatives,Labour,16.14%,54.88%,9.06%,10.17%,6.87%,,,2.87%,,38.7%,,13.5%,19.2%,49.3%,59.3%,5.8%,12.9%,7.7%,12.5%,4.6%,10.0%,0.0%,0.0%,,,1.1%,6.4%
E14001125,Brentwood and Ongar,Conservatives,Labour,Conservatives,41.23%,22.72%,11.52%,20.03%,3.85%,,,0.65%,,18.5%,,35.5%,45.6%,17.0%,28.5%,7.6%,16.1%,16.0%,24.1%,2.4%,6.5%,0.0%,0.0%,,,0.1%,2.6%
E14001126,Bridgwater,Labour,Conservatives,Conservatives,28.50%,31.94%,12.30%,23.33%,3.60%,,,0.33%,,3.4%,,25.2%,31.4%,27.3%,36.4%,8.9%,16.2%,18.9%,28.1%,2.3%,5.4%,0.0%,0.0%,,,0.1%,1.0%
E14001127,Bridlington and The Wolds,Conservatives,Reform UK,Conservatives,35.32%,25.01%,6.81%,28.02%,4.12%,,,0.72%,,7.3%,,31.9%,39.3%,21.0%,29.8%,4.1%,9.4%,23.4%,33.2%,2.7%,6.0%,0.0%,0.0%,,,0.2%,1.7%
E14001128,Brigg and Immingham,Conservatives,Labour,Conservatives,36.25%,31.27%,5.76%,22.87%,3.85%,,,0.00%,,5.0%,,31.5%,40.9%,26.1%,35.6%,3.7%,8.3%,18.3%,26.9%,2.4%,5.9%,0.0%,0.0%,,,0.0%,0.0%
E14001129,Brighton Kemptown and Peacehaven,Labour,Conservatives,Labour,20.86%,64.16%,5.60%,0.00%,7.59%,,,1.79%,,43.3%,,17.9%,24.0%,58.8%,68.1%,3.3%,8.5%,0.0%,0.0%,5.1%,10.9%,0.0%,0.0%,,,0.6%,4.8%
E14001130,Brighton Pavilion,Green Party,Labour,Green Party,9.06%,26.94%,4.78%,8.14%,49.50%,,,1.59%,,22.6%,,7.3%,11.1%,22.0%,31.9%,2.8%,8.0%,6.2%,10.0%,44.3%,54.1%,0.0%,0.0%,,,0.5%,3.9%
E14001131,Bristol Central,Labour,Green Party,Labour,7.31%,50.30%,4.99%,5.24%,31.68%,,,0.47%,,18.6%,,5.3%,9.6%,44.9%,54.3%,2.8%,7.7%,3.9%,6.6%,26.8%,36.6%,0.0%,0.0%,,,0.1%,1.4%
E14001132,Bristol East,Labour,Green Party,Labour,12.51%,63.02%,6.99%,0.00%,16.95%,,,0.54%,,46.1%,,10.0%,15.0%,57.8%,67.0%,4.4%,10.3%,0.0%,0.0%,13.4%,22.0%,0.0%,0.0%,,,0.1%,1.9%
E14001133,Bristol North East,Labour,Conservatives,Labour,18.98%,51.44%,6.09%,13.19%,9.74%,,,0.57%,,32.5%,,15.9%,22.3%,46.5%,55.9%,3.7%,9.9%,10.4%,16.4%,6.7%,13.8%,0.0%,0.0%,,,0.1%,1.5%
E14001134,Bristol North West,Labour,Conservatives,Labour,18.26%,51.34%,5.88%,9.35%,14.68%,,,0.50%,,33.1%,,15.4%,21.0%,45.6%,55.6%,3.7%,9.2%,7.4%,11.9%,10.7%,18.9%,0.0%,0.0%,,,0.1%,1.6%
E14001135,Bristol South,Labour,Conservatives,Labour,17.67%,49.97%,4.71%,17.04%,10.01%,,,0.60%,,32.3%,,14.8%,21.0%,44.8%,53.9%,2.7%,8.0%,14.0%,20.4%,6.7%,13.3%,0.0%,0.0%,,,0.2%,2.0%
E14001136,Broadland and Fakenham,Conservatives,Labour,Conservatives,34.62%,24.85%,14.19%,20.91%,5.43%,,,0.00%,,9.8%,,31.3%,38.1%,20.6%,29.1%,10.3%,17.9%,17.0%,24.3%,3.8%,7.8%,0.0%,0.0%,,,0.0%,0.0%
E14001137,Bromley and Biggin Hill,Labour,Conservatives,Conservatives,28.38%,37.14%,14.54%,15.03%,4.40%,,,0.50%,,8.8%,,24.0%,33.0%,30.9%,42.9%,9.8%,19.3%,11.6%,19.0%,2.8%,6.8%,0.0%,0.0%,,,0.1%,1.9%
E14001138,Bromsgrove,Conservatives,Labour,Conservatives,37.35%,28.67%,9.85%,19.12%,4.65%,,,0.36%,,8.7%,,32.3%,41.6%,23.4%,34.7%,6.3%,13.9%,15.0%,23.0%,3.0%,6.8%,0.0%,0.0%,,,0.1%,1.5%
E14001139,Broxbourne,Conservatives,Labour,Conservatives,34.89%,30.85%,7.99%,20.45%,5.37%,,,0.46%,,4.0%,,31.1%,38.2%,25.7%,35.9%,5.2%,11.2%,16.7%,25.4%,3.3%,7.7%,0.0%,0.0%,,,0.1%,1.4%
E14001140,Broxtowe,Labour,Conservatives,Conservatives,24.31%,43.57%,4.10%,20.94%,6.23%,,,0.84%,,19.3%,,21.0%,27.7%,37.6%,48.1%,2.2%,6.9%,16.8%,25.5%,4.2%,9.0%,0.0%,0.0%,,,0.2%,2.3%
E14001141,Buckingham and Bletchley,Labour,Conservatives,Conservatives,29.73%,34.11%,15.59%,16.62%,3.44%,,,0.51%,,4.4%,,26.0%,33.6%,28.8%,39.2%,11.0%,21.1%,13.5%,20.9%,2.1%,5.7%,0.0%,0.0%,,,0.1%,1.7%
E14001142,Burnley,Labour,Reform UK,Conservatives,18.50%,46.87%,8.33%,19.29%,3.28%,,,3.73%,,27.6%,,15.6%,22.1%,41.2%,51.8%,5.2%,12.7%,15.1%,22.7%,2.1%,5.2%,0.0%,0.0%,,,1.2%,8.5%
E14001143,Burton and Uttoxeter,Labour,Conservatives,Conservatives,31.27%,36.29%,5.52%,18.89%,7.25%,,,0.77%,,5.0%,,27.5%,34.7%,30.8%,40.6%,3.5%,9.0%,14.6%,22.9%,4.7%,11.2%,0.0%,0.0%,,,0.2%,2.8%
E14001144,Bury North,Labour,Conservatives,Conservatives,21.69%,54.90%,3.21%,14.15%,5.57%,,,0.47%,,33.2%,,18.9%,25.0%,49.8%,58.2%,2.0%,5.6%,11.2%,17.8%,3.7%,8.7%,0.0%,0.0%,,,0.1%,1.8%
E14001145,Bury South,Labour,Conservatives,Conservatives,24.06%,50.66%,3.91%,17.49%,3.48%,,,0.40%,,26.6%,,21.2%,27.0%,45.8%,55.0%,2.3%,6.3%,13.7%,21.1%,2.3%,5.6%,0.0%,0.0%,,,0.1%,1.3%
E14001146,Bury St Edmunds and Stowmarket,Labour,Conservatives,Conservatives,33.72%,34.01%,4.61%,18.79%,8.53%,,,0.33%,,0.3%,,30.4%,37.3%,30.0%,38.0%,2.9%,6.9%,15.3%,22.3%,6.5%,11.2%,0.0%,0.0%,,,0.1%,1.0%
E14001147,Calder Valley,Labour,Conservatives,Conservatives,26.05%,50.24%,4.34%,14.27%,4.73%,,,0.38%,,24.2%,,22.6%,29.7%,45.1%,54.2%,2.5%,7.0%,11.1%,18.6%,3.1%,7.5%,0.0%,0.0%,,,0.1%,1.4%
E14001148,Camborne and Redruth,Labour,Conservatives,Conservatives,24.75%,49.49%,5.71%,15.81%,3.84%,,,0.41%,,24.7%,,21.4%,28.3%,44.5%,53.5%,3.8%,8.7%,12.4%,19.3%,2.4%,6.1%,0.0%,0.0%,,,0.1%,1.4%
E14001149,Cambridge,Labour,Liberal Democrats,Labour,8.60%,58.91%,23.64%,0.00%,8.17%,,,0.69%,,35.3%,,6.2%,11.2%,52.4%,64.2%,17.7%,29.9%,0.0%,0.0%,5.2%,12.4%,0.0%,0.0%,,,0.1%,2.4%
E14001150,Cannock Chase,Labour,Conservatives,Conservatives,30.46%,37.35%,2.01%,25.52%,4.66%,,,0.00%,,6.9%,,27.5%,34.0%,33.1%,41.0%,1.3%,3.1%,21.9%,29.4%,3.3%,6.6%,0.0%,0.0%,,,0.0%,0.0%
E14001151,Canterbury,Labour,Conservatives,Labour,24.42%,50.70%,5.96%,13.14%,5.38%,,,0.40%,,26.3%,,20.6%,27.9%,45.5%,55.1%,3.7%,9.3%,10.2%,16.3%,3.3%,8.0%,0.0%,0.0%,,,0.1%,1.7%
E14001152,Carlisle,Labour,Conservatives,Conservatives,26.90%,46.51%,6.04%,16.16%,3.90%,,,0.49%,,19.6%,,23.5%,30.0%,42.0%,50.9%,3.7%,9.8%,12.3%,19.8%,2.5%,6.3%,0.0%,0.0%,,,0.1%,1.6%
E14001153,Carshalton and Wallington,Liberal Democrats,Conservatives,Conservatives,23.04%,19.30%,39.05%,14.93%,3.26%,,,0.43%,,16.0%,,19.6%,26.7%,14.2%,24.8%,33.7%,43.4%,11.4%,18.6%,2.1%,5.0%,0.0%,0.0%,,,0.1%,1.8%
E14001154,Castle Point,Conservatives,Reform UK,Conservatives,40.44%,24.63%,5.15%,25.71%,4.08%,,,0.00%,,14.7%,,36.4%,44.8%,19.5%,29.5%,3.1%,8.3%,21.4%,30.3%,2.5%,6.3%,0.0%,0.0%,,,0.0%,0.0%
E14001155,Central Devon,Labour,Conservatives,Conservatives,28.12%,36.31%,13.08%,15.32%,6.80%,,,0.37%,,8.2%,,24.7%,32.0%,30.9%,41.7%,9.0%,17.7%,11.7%,19.3%,4.5%,10.1%,0.0%,0.0%,,,0.1%,1.5%
E14001156,Central Suffolk and North Ipswich,Labour,Conservatives,Conservatives,31.70%,33.71%,7.31%,22.34%,4.68%,,,0.26%,,2.0%,,28.3%,35.7%,28.8%,37.6%,4.7%,10.3%,18.5%,26.2%,3.3%,6.6%,0.0%,0.0%,,,0.1%,0.9%
E14001157,Chatham and Aylesford,Labour,Conservatives,Conservatives,30.05%,34.54%,3.59%,26.26%,5.33%,,,0.23%,,4.5%,,26.9%,33.1%,30.1%,38.8%,2.3%,5.7%,22.3%,30.5%,3.8%,7.7%,0.0%,0.0%,,,0.1%,0.9%
E14001158,Cheadle,Liberal Democrats,Conservatives,Conservatives,25.15%,9.08%,51.77%,10.63%,3.03%,,,0.33%,,26.6%,,21.8%,28.8%,5.2%,12.7%,46.8%,56.9%,8.2%,13.7%,2.0%,4.7%,0.0%,0.0%,,,0.1%,1.3%
E14001159,Chelmsford,Conservatives,Liberal Democrats,Conservatives,30.69%,21.95%,28.14%,13.85%,4.22%,,,1.16%,,2.6%,,26.7%,34.9%,17.6%,26.2%,23.8%,32.5%,11.2%,17.4%,2.9%,5.9%,0.0%,0.0%,,,0.4%,2.6%
